Recd#,File_Name,EQID,SN,EQ#,R#,ST,FM,Mw,fDepth,SDist,Vdist,Rjb,Rx,SC,TVS30,Ts1,ImpR1,Ts2,ImpR2,Sa(gal),NWiD,Sa(g),staLon,staLat,ELon,ELat
9215,NIG0121103191856,201103191856E,NIG012,218,70,1,3,5.86,5.4,139.6,82,139.5,1000,3,0.412,0.499,3.54,0.35,4.64,1.38E+01,Knet,1.41E-02,139.4772,37.6863,140.572,36.784
9216,NIGH041103191856,201103191856E,NIGH04,218,71,1,3,5.86,5.4,175.3,83.9,175.2,1000,4,0.306,0.823,1.61,0.677,2.12,1.02E+01,Kik,1.04E-02,139.5428,38.1313,140.572,36.784
9217,NIGH061103191856,201103191856E,NIGH06,218,72,1,3,5.86,5.4,164.6,83.2,164.5,1000,4,0.357,0.752,4.22,0.222,5.56,2.41E+01,Kik,2.46E-02,139.0676,37.6527,140.572,36.784
9218,NIGH091103191856,201103191856E,NIGH09,218,73,1,3,5.86,5.4,153.1,83.9,153,1000,2,0.259,0.353,1.69,0.508,2.19,8.54E+00,Kik,8.70E-03,139.1279,37.5386,140.572,36.784
9219,NIGH191103191856,201103191856E,NIGH19,218,74,1,3,5.86,5.4,159.2,121.7,159.2,1000,1,0.192,0.112,1.6,0.312,2.33,1.12E+01,Kik,1.14E-02,138.7849,36.8114,140.572,36.784
9220,SIT0041103191856,201103191856E,SIT004,218,75,1,3,5.86,5.4,150.8,29,150.7,1000,2,0.351,0.395,3.54,0.275,4.64,2.25E+01,Knet,2.30E-02,139.1045,36.1179,140.572,36.784
9221,SIT0051103191856,201103191856E,SIT005,218,76,1,3,5.86,5.4,142.5,0,142.4,1000,2,0.348,0.368,3.54,0.255,4.64,2.42E+01,Knet,2.47E-02,139.2626,36.0562,140.572,36.784
9222,SIT0061103191856,201103191856E,SIT006,218,77,1,3,5.86,5.4,160.6,0,160.5,1000,1,0.183,0.086,3.7,0.106,5.62,3.78E+01,Knet,3.85E-02,139.0709,35.9954,140.572,36.784
9223,SIT0071103191856,201103191856E,SIT007,218,78,1,3,5.86,5.4,133.4,0,133.3,1000,1,0.229,0.103,3.7,0.125,5.62,3.50E+01,Knet,3.57E-02,139.3912,36.054,140.572,36.784
9224,SIT0121103191856,201103191856E,SIT012,218,79,1,3,5.86,5.4,153.6,0,153.5,1000,1,0.168,0.106,3.7,0.124,5.62,1.36E+01,Knet,1.39E-02,139.3215,35.8401,140.572,36.784
9225,SIT0131103191856,201103191856E,SIT013,218,80,1,3,5.86,5.4,148,0,147.9,1000,2,0.402,0.335,3.54,0.372,4.64,5.02E+01,Knet,5.12E-02,139.4659,35.7965,140.572,36.784
9226,SIT0141103191856,201103191856E,SIT014,218,81,1,3,5.86,5.4,181.3,63.9,181.2,1000,2,0.319,0.326,3.54,0.225,4.64,1.11E+01,Knet,1.13E-02,138.801,35.9954,140.572,36.784
9227,SITH051103191856,201103191856E,SITH05,218,82,1,3,5.86,5.4,153.3,49.3,153.2,1000,1,0.179,0.08,5.25,0.08,5.25,1.77E+01,Kik,1.81E-02,139.0504,36.1509,140.572,36.784
9228,SITH061103191856,201103191856E,SITH06,218,83,1,3,5.86,5.4,137,0,136.9,1000,3,0.325,0.432,2.31,0.419,2.31,6.19E+01,Kik,6.31E-02,139.2894,36.1131,140.572,36.784
9229,SITH071103191856,201103191856E,SITH07,218,84,1,3,5.86,5.4,160.2,0,160.1,1000,1,0.17,0.082,2.57,0.082,2.57,1.45E+01,Kik,1.48E-02,139.1485,35.9118,140.572,36.784
9230,SITH081103191856,201103191856E,SITH08,218,85,1,3,5.86,5.4,166.4,34.1,166.3,1000,1,0.231,0.176,4.84,0.176,4.84,2.30E+01,Kik,2.34E-02,138.9691,36.0274,140.572,36.784
9231,SITH091103191856,201103191856E,SITH09,218,86,1,3,5.86,5.4,153.8,14.2,153.7,1000,1,0.131,0.077,3.72,0.077,3.72,1.14E+01,Kik,1.16E-02,139.0993,36.0715,140.572,36.784
9232,SITH101103191856,201103191856E,SITH10,218,87,1,3,5.86,5.4,149.6,0,149.5,1000,1,0.221,0.17,6.17,0.17,6.17,1.81E+01,Kik,1.84E-02,139.2191,35.9964,140.572,36.784
9233,SITH111103191856,201103191856E,SITH11,218,88,1,3,5.86,5.4,155,0,154.9,1000,2,0.323,0.265,5.08,0.259,5.08,1.31E+02,Kik,1.33E-01,139.2726,35.8637,140.572,36.784
9234,TCG0011103191856,201103191856E,TCG001,218,89,1,3,5.86,5.4,47.2,13.5,46.9,1000,1,0.212,0.178,3.7,0.11,5.62,5.09E+01,Knet,5.18E-02,140.0828,36.9417,140.572,36.784
