,dc_0,ell_1e,omega_1e,tau_0,tau
prc_0.05,-0.20540726408607496,25.88357429308939,0.10949538454365268,0.1100902681983524,0.1506771580501366
prc_0.25,-0.1560207016358671,42.65285107042774,0.15264999834639398,0.14571728378598744,0.20470838354063434
prc_0.50,-0.12678017505325526,62.046545999797914,0.19313308028841347,0.18385091143661342,0.234105715208482
prc_0.75,-0.09655484460053582,90.39022985907961,0.22998359030307036,0.22059424934721913,0.2702403866319223
prc_0.95,-0.0416695029576037,162.04512976196452,0.2868789887429183,0.27723017364315905,0.3156552851189973
mean,-0.12647876619896523,74.07481731262423,0.19399291127889995,0.18659882575331438,0.23574664476171567
