,dc_0,ell_1e,omega_1e,tau_0,tau
prc_0.05,-0.08195090161465735,23.95500105668846,0.11069483797052197,0.106066536216871,0.13349233011876077
prc_0.25,-0.037830483593567284,42.479240940628216,0.14578807565161567,0.13196233307672145,0.1893573197111013
prc_0.50,-0.009941413136171778,61.42484471863982,0.17951334362716556,0.16491664896083896,0.21968584366534227
prc_0.75,0.020043405444581823,88.33150076014799,0.21250515803420697,0.20049581193079,0.248867190173153
prc_0.95,0.06902147266712134,147.79640819319587,0.2647055360746828,0.2505272762949296,0.28900886009841237
mean,-0.008440632094445797,70.80763521259128,0.18155007094198441,0.16960036963862182,0.21766706532895796
