,dc_0,ell_1e,omega_1e,tau_0,tau
prc_0.05,-0.12648147660072534,13.123223979698116,0.10439748400622079,0.11233603462507061,0.1315132842451797
prc_0.25,-0.07760604100178274,22.472760446848586,0.1233228752546122,0.14406699218505603,0.18380556404511106
prc_0.50,-0.04569039214312149,36.85051506888867,0.14863386911226062,0.1784691006277299,0.22029528353645664
prc_0.75,-0.007423033470641419,61.94177954313022,0.1821902961165165,0.21671792869114914,0.2553285356358543
prc_0.95,0.050921992723182194,149.7360480549855,0.24137600390838557,0.26162345703164186,0.30026337175948303
mean,-0.04177954634567853,53.027908600104674,0.157663561834032,0.18151836881770544,0.21844965004175937
