eqid,eqX,eqY,zoneUTM,dc_0_mean,dc_1e_mean,dc_0_med,dc_1e_med,dc_0_unc,dc_1e_unc
1,-392.9771644,3569.61599,54.0,-0.04177954634567853,0.008124977418486203,-0.04569039214312149,0.008140175785241947,0.05298765633872019,0.13516037678847936
2,-521.8490864,3587.736602,54.0,-0.04177954634567853,0.1081320596091,-0.04569039214312149,0.10525150871909071,0.05298765633872019,0.13414497384044177
3,-516.1802861,3584.797231,54.0,-0.04177954634567853,0.10866993352590816,-0.04569039214312149,0.10079874162644425,0.05298765633872019,0.13382789312043997
4,-366.6419946,3850.319998,54.0,-0.04177954634567853,0.035743796951283886,-0.04569039214312149,0.030100109961995705,0.05298765633872019,0.1323575793484405
5,296.6197907,4128.179302,54.0,-0.04177954634567853,0.03840027429515478,-0.04569039214312149,0.03200398197630232,0.05298765633872019,0.13427953398217557
6,328.0161826,3866.898867,54.0,-0.04177954634567853,-0.06567094561069607,-0.04569039214312149,-0.060918611695361564,0.05298765633872019,0.13708458799717446
7,202.2433506,4025.549721,54.0,-0.04177954634567853,-0.1279357160270772,-0.04569039214312149,-0.11269186925809466,0.05298765633872019,0.15035934033464018
8,477.9085898,4404.03758,54.0,-0.04177954634567853,0.06374247138250824,-0.04569039214312149,0.057749258691974614,0.05298765633872019,0.1348601345980304
9,404.4809129,4338.111066,54.0,-0.04177954634567853,-0.009784975744343706,-0.04569039214312149,-0.00679063905166208,0.05298765633872019,0.13587341296279806
10,9.936533142,4088.226647,54.0,-0.04177954634567853,0.10094992396160755,-0.04569039214312149,0.09361993872003666,0.05298765633872019,0.14842958601415954
11,331.5278665,3788.394861,54.0,-0.04177954634567853,-0.08068993861306656,-0.04569039214312149,-0.07748888303703247,0.05298765633872019,0.13024707447571768
12,339.1199784,3779.719742,54.0,-0.04177954634567853,-0.06181550875153332,-0.04569039214312149,-0.06072871002215745,0.05298765633872019,0.13203721075022173
13,339.7794838,3807.442051,54.0,-0.04177954634567853,-0.04515242750384839,-0.04569039214312149,-0.04348283051768716,0.05298765633872019,0.13196448995818189
14,350.372763,3756.462,54.0,-0.04177954634567853,-0.022604775020950783,-0.04569039214312149,-0.020377248868997284,0.05298765633872019,0.14259858636648431
15,-211.5027363,3942.861107,54.0,-0.04177954634567853,0.06917502370547292,-0.04569039214312149,0.056376678837615254,0.05298765633872019,0.13741083327996623
16,-219.4647507,3910.916164,54.0,-0.04177954634567853,-0.04232749357141962,-0.04569039214312149,-0.0393005608349668,0.05298765633872019,0.1413571804914332
17,500.0,4252.416563,54.0,-0.04177954634567853,-0.010234604895363195,-0.04569039214312149,-0.0009255320430287732,0.05298765633872019,0.13126205257647228
18,777.9572636,4705.2782,54.0,-0.04177954634567853,0.05040430405269756,-0.04569039214312149,0.04191654230726066,0.05298765633872019,0.13987051739030534
19,98.91793599,3668.927592,54.0,-0.04177954634567853,-0.16033306965502533,-0.04569039214312149,-0.14025674128684545,0.05298765633872019,0.17788191410661153
20,303.0563522,4122.696565,54.0,-0.04177954634567853,-0.0024028362157091088,-0.04569039214312149,0.0006620277418449639,0.05298765633872019,0.12648414540294847
21,-495.1785239,3778.405892,54.0,-0.04177954634567853,0.14007107659493956,-0.04569039214312149,0.13006762807382874,0.05298765633872019,0.15127583639247427
22,106.1589291,4141.756443,54.0,-0.04177954634567853,-0.005119898147035145,-0.04569039214312149,-0.0050121606262508705,0.05298765633872019,0.1390698930188825
23,278.8623898,4157.834291,54.0,-0.04177954634567853,0.02502144516083844,-0.04569039214312149,0.02089102291135231,0.05298765633872019,0.13052669102022177
24,479.5101355,4329.232197,54.0,-0.04177954634567853,0.04595382536529955,-0.04569039214312149,0.04332844583985532,0.05298765633872019,0.12953169627377717
25,476.8845411,4318.364085,54.0,-0.04177954634567853,0.04871054526206795,-0.04569039214312149,0.04884052624898149,0.05298765633872019,0.12916357894309663
26,271.1614629,3852.162185,54.0,-0.04177954634567853,0.03658309766745609,-0.04569039214312149,0.03374124260829442,0.05298765633872019,0.13327156124043515
27,492.4691686,4319.554466,54.0,-0.04177954634567853,0.06793089714044971,-0.04569039214312149,0.0610838225341614,0.05298765633872019,0.13138744501514205
28,413.6607163,4126.933692,54.0,-0.04177954634567853,0.031250467065385756,-0.04569039214312149,0.0276441007219731,0.05298765633872019,0.13308287711312772
29,181.0656949,4007.076796,54.0,-0.04177954634567853,-0.014041624474519301,-0.04569039214312149,-0.012941452256063999,0.05298765633872019,0.14393644910817774
30,679.1344463,4226.87525,54.0,-0.04177954634567853,-0.04463106028351105,-0.04569039214312149,-0.04033408364486686,0.05298765633872019,0.13212703166929007
