,dc_0,ell_1e,omega_1e,tau_0,tau
prc_0.05,-0.26381849792918577,37.950703046293754,0.17055139702170521,0.11574831832689522,0.16552125636300052
prc_0.25,-0.20195354832106396,59.03170387900752,0.2271106062006451,0.15477806229332425,0.22233004518192895
prc_0.50,-0.16062277520773716,80.05382299046187,0.2684810778423813,0.1934487394036436,0.2634765554448768
prc_0.75,-0.12085159146276975,112.94718947231078,0.308576315937013,0.2411090509938193,0.2961465796302682
prc_0.95,-0.06888327835371735,188.9563802850034,0.3666489533593069,0.2995315565713708,0.34423274721487496
mean,-0.1628010558265259,91.8680605728123,0.26771234634815155,0.2003772233158992,0.2585649041088061
