eqid,eqX,eqY,zoneUTM,dc_0_mean,dc_1e_mean,dc_0_med,dc_1e_med,dc_0_unc,dc_1e_unc
1,-392.9771644302064,3569.6159903640432,54.0,-0.12647876619896523,-0.20577828941182627,-0.12678017505325526,-0.2027228403315287,0.04920324548320789,0.16430066777088104
2,-417.402097908243,3562.456341390341,54.0,-0.12647876619896523,-0.27158291657235245,-0.12678017505325526,-0.255029866051004,0.04920324548320789,0.1809822268846358
3,-521.8490863607117,3587.7366019941664,54.0,-0.12647876619896523,-0.017393840680912237,-0.12678017505325526,-0.013266961581072344,0.04920324548320789,0.1456348840571842
4,-516.1802860657565,3584.79723067657,54.0,-0.12647876619896523,-0.026884811186226057,-0.12678017505325526,-0.024818357314380115,0.04920324548320789,0.14647337984054443
5,-366.6419945922364,3850.319998086217,54.0,-0.12647876619896523,0.03167189812086489,-0.12678017505325526,0.026218608951910603,0.04920324548320789,0.1639546509615029
6,296.61979068975745,4128.179301772369,54.0,-0.12647876619896523,0.04653484887609331,-0.12678017505325526,0.034826510515005966,0.04920324548320789,0.1429715629537097
7,83.87192532983795,3901.35139849166,54.0,-0.12647876619896523,0.012746466415473962,-0.12678017505325526,0.012983941017264588,0.04920324548320789,0.15604425733978425
8,328.01618259779593,3866.898866582476,54.0,-0.12647876619896523,-0.20210816051484845,-0.12678017505325526,-0.19618483143321225,0.04920324548320789,0.1744295014231328
9,202.24335058105044,4025.5497211369657,54.0,-0.12647876619896523,-0.09677032461287806,-0.12678017505325526,-0.08580336724644752,0.04920324548320789,0.16375482159348845
10,477.9085898257795,4404.037580305916,54.0,-0.12647876619896523,-0.10251954509812038,-0.12678017505325526,-0.08325967916060595,0.04920324548320789,0.19352448178582624
11,-420.0218842901478,3511.5314261996805,54.0,-0.12647876619896523,-0.20325603972003944,-0.12678017505325526,-0.1932035173545127,0.04920324548320789,0.1745503006670402
12,404.480912881415,4338.111065579622,54.0,-0.12647876619896523,-0.014386184803832766,-0.12678017505325526,-0.013227253012632795,0.04920324548320789,0.15952978719849092
13,897.2500114832707,4778.926785247212,54.0,-0.12647876619896523,-0.03720901758054433,-0.12678017505325526,-0.033562744941715884,0.04920324548320789,0.16007536420862667
14,452.7920442390795,4037.3186893039,54.0,-0.12647876619896523,0.15293578151077847,-0.12678017505325526,0.14354125983582416,0.04920324548320789,0.15663045084911306
15,9.936533141897351,4088.226647492491,54.0,-0.12647876619896523,0.20691192954349338,-0.12678017505325526,0.1898968868042977,0.04920324548320789,0.1848441567497921
16,331.5278665142546,3788.394860859632,54.0,-0.12647876619896523,-0.16463234652407388,-0.12678017505325526,-0.16490578717409995,0.04920324548320789,0.14192625713928714
17,339.1199783648173,3779.719741822334,54.0,-0.12647876619896523,-0.15265966157225425,-0.12678017505325526,-0.15498134251300616,0.04920324548320789,0.1432050729288915
18,339.7794838460253,3807.442051326752,54.0,-0.12647876619896523,-0.19074089907554498,-0.12678017505325526,-0.1854537886476359,0.04920324548320789,0.15778094474623447
19,495.25662427566033,4044.955607804362,54.0,-0.12647876619896523,0.10193340355765731,-0.12678017505325526,0.1015851466572383,0.04920324548320789,0.1416948196974907
20,350.3727630331359,3756.461999998863,54.0,-0.12647876619896523,-0.1344354548263671,-0.12678017505325526,-0.1319907298063583,0.04920324548320789,0.15243048186620892
21,-211.5027362895382,3942.861107077152,54.0,-0.12647876619896523,0.046139578544124,-0.12678017505325526,0.04341023821124645,0.04920324548320789,0.15567169035653483
22,-219.46475068668764,3910.916163982088,54.0,-0.12647876619896523,-0.08445745330574962,-0.12678017505325526,-0.07968897234745134,0.04920324548320789,0.16674614643912594
23,64.81973861557135,3803.325091290097,54.0,-0.12647876619896523,0.15134554019082044,-0.12678017505325526,0.1351242319968097,0.04920324548320789,0.1776728532174406
24,806.8939248016844,4714.281141947781,54.0,-0.12647876619896523,-0.1380570912015765,-0.12678017505325526,-0.13292513573708575,0.04920324548320789,0.16042152956690747
25,-281.0513156866755,3806.595394995688,54.0,-0.12647876619896523,-0.04892141280785567,-0.12678017505325526,-0.04590466099826796,0.04920324548320789,0.14422718691405784
26,-279.4489109472877,3801.1933826205623,54.0,-0.12647876619896523,-0.0526812039173407,-0.12678017505325526,-0.04538001030923095,0.04920324548320789,0.14391585485168137
