,dc_0,ell_1e,omega_1e,tau_0,tau
prc_0.05,-0.11774834858134955,9.938885900300415,0.10219019635553397,0.10914662760531657,0.1601882670929847
prc_0.25,-0.07664468975908054,16.99571067426799,0.11030977689511556,0.14323554852686904,0.22123880467501733
prc_0.50,-0.052634847406993035,26.69051319824343,0.12542375772733394,0.17677838448081845,0.2564285768376421
prc_0.75,-0.028788722793580725,51.22612295406907,0.14915301347569063,0.22125120308873866,0.2829237933291973
prc_0.95,0.008991107611492244,171.29735446916735,0.19281549887709806,0.2751557978557415,0.32022421961445485
mean,-0.0536582759520472,46.330524722543565,0.13369237872907758,0.18414701715153958,0.2495564469047844
