,dc_0,ell_1e,omega_1e,tau_0,tau
prc_0.05,-0.25818051683834603,34.00095177566123,0.18085617768492523,0.1274514036985944,0.16312729478202287
prc_0.25,-0.18963037584809206,57.56756703000271,0.23449625034867863,0.17501076267828292,0.2057066004403354
prc_0.50,-0.14399493362252413,79.58258753988324,0.27030746287341506,0.21686094856883242,0.24792132613308726
prc_0.75,-0.09717005947499224,111.22508588626039,0.3076661053331955,0.25531475733228226,0.28325821861949796
prc_0.95,-0.011575971070896099,184.37700654503456,0.36429897294697955,0.3138619758226261,0.33807978851120263
mean,-0.14137981311303927,91.03683927671555,0.27077439036603745,0.21694686835897728,0.24736521901302178
