eqid,eqX,eqY,zoneUTM,dc_0_mean,dc_1e_mean,dc_0_med,dc_1e_med,dc_0_unc,dc_1e_unc
1,-392.9771644302064,3569.6159903640432,54.0,-0.04238913870151154,0.0213314809037482,-0.04120035284177398,0.019375715857098907,0.03890527399329198,0.11925988694195426
2,-417.402097908243,3562.456341390341,54.0,-0.04238913870151154,-0.0036528422960460096,-0.04120035284177398,-0.0030010089048228532,0.03890527399329198,0.13052026309364007
3,-521.8490863607117,3587.7366019941664,54.0,-0.04238913870151154,0.06747447000618717,-0.04120035284177398,0.06593335968451558,0.03890527399329198,0.12276221291163064
4,-516.1802860657565,3584.79723067657,54.0,-0.04238913870151154,0.06935609137750352,-0.04120035284177398,0.059408615770318654,0.03890527399329198,0.12098266047248758
5,-366.6419945922364,3850.319998086217,54.0,-0.04238913870151154,0.03236730637662274,-0.04120035284177398,0.03155310411047927,0.03890527399329198,0.11746498565553304
6,296.61979068975745,4128.179301772369,54.0,-0.04238913870151154,0.018504383893137792,-0.04120035284177398,0.017262596543235136,0.03890527399329198,0.11698262062039753
7,83.87192532983795,3901.35139849166,54.0,-0.04238913870151154,-0.0064963726535943785,-0.04120035284177398,-0.005148168678724974,0.03890527399329198,0.12135949123243112
8,328.01618259779593,3866.898866582476,54.0,-0.04238913870151154,-0.044798042316293536,-0.04120035284177398,-0.0415752740947239,0.03890527399329198,0.12563366511035126
9,202.24335058105044,4025.5497211369657,54.0,-0.04238913870151154,-0.07049723185620528,-0.04120035284177398,-0.06321038244357091,0.03890527399329198,0.12652913582714745
10,477.9085898257795,4404.037580305916,54.0,-0.04238913870151154,-0.07563772366740346,-0.04120035284177398,-0.07402579996920686,0.03890527399329198,0.12766720786430644
11,-420.0218842901478,3511.5314261996805,54.0,-0.04238913870151154,0.023373406140618315,-0.04120035284177398,0.020848557519768007,0.03890527399329198,0.12314539064481751
12,404.480912881415,4338.111065579622,54.0,-0.04238913870151154,0.016477400875416038,-0.04120035284177398,0.01609133983862588,0.03890527399329198,0.11519226768358617
13,897.2500114832707,4778.926785247212,54.0,-0.04238913870151154,0.041642007062239396,-0.04120035284177398,0.04119112914131766,0.03890527399329198,0.11979439238028483
14,452.7920442390795,4037.3186893039,54.0,-0.04238913870151154,0.05598602390840006,-0.04120035284177398,0.05019147456352509,0.03890527399329198,0.12251325467248325
15,9.936533141897351,4088.226647492491,54.0,-0.04238913870151154,0.051566880613538146,-0.04120035284177398,0.04403829579460729,0.03890527399329198,0.12965521136422192
16,331.5278665142546,3788.394860859632,54.0,-0.04238913870151154,-0.04895875170392434,-0.04120035284177398,-0.04327854087018331,0.03890527399329198,0.12067744806097522
17,339.1199783648173,3779.719741822334,54.0,-0.04238913870151154,-0.029568276977444966,-0.04120035284177398,-0.028834714091120994,0.03890527399329198,0.11907425153426204
18,339.7794838460253,3807.442051326752,54.0,-0.04238913870151154,-0.03380976467790605,-0.04120035284177398,-0.03632301789190502,0.03890527399329198,0.11888510160647756
19,495.25662427566033,4044.955607804362,54.0,-0.04238913870151154,0.027533017488061955,-0.04120035284177398,0.02458578065247629,0.03890527399329198,0.11242878938125903
20,350.3727630331359,3756.461999998863,54.0,-0.04238913870151154,-0.024262488530031105,-0.04120035284177398,-0.028097913777756615,0.03890527399329198,0.12392644701412227
21,-211.5027362895382,3942.861107077152,54.0,-0.04238913870151154,0.004389555913997216,-0.04120035284177398,0.00010913469675046504,0.03890527399329198,0.11696322467321679
22,-219.46475068668764,3910.916163982088,54.0,-0.04238913870151154,-0.11646391562508647,-0.04120035284177398,-0.10756541862255556,0.03890527399329198,0.13462286937075296
23,64.81973861557135,3803.325091290097,54.0,-0.04238913870151154,0.04904982620504094,-0.04120035284177398,0.044612836301710763,0.03890527399329198,0.12926343507280308
24,806.8939248016844,4714.281141947781,54.0,-0.04238913870151154,0.02134946063137337,-0.04120035284177398,0.020424243904288847,0.03890527399329198,0.11533874633084
25,-281.0513156866755,3806.595394995688,54.0,-0.04238913870151154,-0.020391819817879027,-0.04120035284177398,-0.02384065245406186,0.03890527399329198,0.11994469501362488
26,-279.4489109472877,3801.1933826205623,54.0,-0.04238913870151154,-0.017932198320549493,-0.04120035284177398,-0.015436102872037786,0.03890527399329198,0.1185735934210991
27,500.0000000000022,4252.416563158607,54.0,-0.04238913870151154,0.03562408699061257,-0.04120035284177398,0.03426589655484978,0.03890527399329198,0.11676818790884581
28,424.2602128692233,3873.357737037608,54.0,-0.04238913870151154,-0.007597113362993369,-0.04120035284177398,-0.010093731220560214,0.03890527399329198,0.11921725655461674
29,687.2631361295736,4680.028936705243,54.0,-0.04238913870151154,-0.011728190846622482,-0.04120035284177398,-0.012969516853765652,0.03890527399329198,0.12018099414401677
30,777.957263569134,4705.278199933562,54.0,-0.04238913870151154,-0.01338518624664521,-0.04120035284177398,-0.01168959340229678,0.03890527399329198,0.1176469502176123
31,742.0012391113149,4697.266742090076,54.0,-0.04238913870151154,0.02001918297171627,-0.04120035284177398,0.01941132569156455,0.03890527399329198,0.12162676315378146
32,665.5513049319815,4690.5941452398565,54.0,-0.04238913870151154,-0.0652280153108529,-0.04120035284177398,-0.06673723296442005,0.03890527399329198,0.11690917344635755
33,661.3049015884727,4696.050099390135,54.0,-0.04238913870151154,-0.0916957696042272,-0.04120035284177398,-0.08945127820415469,0.03890527399329198,0.12337048315726896
34,428.60712912626303,3845.5965897457527,54.0,-0.04238913870151154,-0.07420473730731776,-0.04120035284177398,-0.07791971648066989,0.03890527399329198,0.11974284243898514
35,98.91793599234212,3668.927591587937,54.0,-0.04238913870151154,-0.09449692028081762,-0.04120035284177398,-0.08637968348514008,0.03890527399329198,0.13534612259477524
36,402.5989527447234,3978.941711549118,54.0,-0.04238913870151154,0.013166796928830861,-0.04120035284177398,0.010868073405686506,0.03890527399329198,0.11402208498698335
37,667.8623533320236,4697.315569318498,54.0,-0.04238913870151154,-0.05947568724242204,-0.04120035284177398,-0.05718923699914251,0.03890527399329198,0.11462806263374298
38,303.056352221951,4122.696565148784,54.0,-0.04238913870151154,-0.00439278949030114,-0.04120035284177398,-0.0048239719195314334,0.03890527399329198,0.11822545003344918
39,835.7803694420392,4770.167694700599,54.0,-0.04238913870151154,0.09343005924557309,-0.04120035284177398,0.08605935324143038,0.03890527399329198,0.12826687936617134
40,-495.1785239267355,3778.405892420616,54.0,-0.04238913870151154,0.10289827787250679,-0.04120035284177398,0.09656415706511742,0.03890527399329198,0.13296529364821877
41,404.3299134394247,3988.795815199408,54.0,-0.04238913870151154,0.0166831341761899,-0.04120035284177398,0.012848471669267572,0.03890527399329198,0.11773004232975316
42,621.8841965677221,4445.387495579415,54.0,-0.04238913870151154,-0.06463911674577875,-0.04120035284177398,-0.06024064414069314,0.03890527399329198,0.10454560727323857
43,106.1589291135848,4141.7564429293725,54.0,-0.04238913870151154,0.00997955032242778,-0.04120035284177398,0.012549239528138505,0.03890527399329198,0.12488966583073359
44,278.8623898141557,4157.834291383674,54.0,-0.04238913870151154,0.008909988640808907,-0.04120035284177398,0.009163243005757223,0.03890527399329198,0.12159250012112137
45,646.8580691679209,4436.1702864692425,54.0,-0.04238913870151154,-0.08335738627373031,-0.04120035284177398,-0.08044216822045472,0.03890527399329198,0.11309903344396376
46,479.5101355324487,4329.232196669799,54.0,-0.04238913870151154,0.028351875970836164,-0.04120035284177398,0.03115393511879883,0.03890527399329198,0.12230596853479932
47,476.8845411410292,4318.364085281663,54.0,-0.04238913870151154,0.03413866978807553,-0.04120035284177398,0.03210371172461754,0.03890527399329198,0.12591943342117914
48,621.1098550941425,4456.477900588364,54.0,-0.04238913870151154,-0.018791730827234593,-0.04120035284177398,-0.02054973687459217,0.03890527399329198,0.11137668475236343
49,271.1614629140905,3852.162184769617,54.0,-0.04238913870151154,0.025469200225437492,-0.04120035284177398,0.025411447898895975,0.03890527399329198,0.12503969879768922
50,303.1987721241244,4784.984313068391,54.0,-0.04238913870151154,-0.014636674788260213,-0.04120035284177398,-0.014485554293568074,0.03890527399329198,0.1238641770275634
51,492.46916862384336,4319.554466150916,54.0,-0.04238913870151154,0.03471782577195994,-0.04120035284177398,0.03214709633434467,0.03890527399329198,0.12454397278022154
52,613.2688661880418,4317.257345805255,54.0,-0.04238913870151154,0.08252747274334198,-0.04120035284177398,0.07875002046835666,0.03890527399329198,0.12179924685478878
53,413.6607163277177,4126.933692479007,54.0,-0.04238913870151154,-0.05091062512538293,-0.04120035284177398,-0.04725303816517101,0.03890527399329198,0.1266817179156426
54,181.0656949265822,4007.0767963031503,54.0,-0.04238913870151154,0.008123965654982735,-0.04120035284177398,0.004792303460223589,0.03890527399329198,0.12495889440722258
55,679.1344462972443,4226.875249913833,54.0,-0.04238913870151154,-0.017735877898330976,-0.04120035284177398,-0.014639886128133543,0.03890527399329198,0.12167568403411928
56,625.9985091941669,4344.425799606012,54.0,-0.04238913870151154,0.035113111150333276,-0.04120035284177398,0.035596295554297025,0.03890527399329198,0.12327812924830041
57,286.22286085268047,4096.016113555928,54.0,-0.04238913870151154,-0.04099945738778185,-0.04120035284177398,-0.041940344516769604,0.03890527399329198,0.11672833639387624
58,334.71484028241383,4482.861045979598,54.0,-0.04238913870151154,0.049303240815114696,-0.04120035284177398,0.05068473311718587,0.03890527399329198,0.136159395804766
59,633.1852302568241,4317.679688677003,54.0,-0.04238913870151154,0.09143839236964109,-0.04120035284177398,0.09172816778911776,0.03890527399329198,0.12230514033467282
60,537.8053897258154,4116.922491112731,54.0,-0.04238913870151154,-0.0027787481011191987,-0.04120035284177398,-0.001884818219137934,0.03890527399329198,0.11776623745722999
61,645.8872104090177,4370.307858894735,54.0,-0.04238913870151154,0.059682576728067836,-0.04120035284177398,0.05589688735784861,0.03890527399329198,0.12342225972416514
62,583.2192292927565,4207.570440686977,54.0,-0.04238913870151154,0.0929121616124758,-0.04120035284177398,0.08640219735740176,0.03890527399329198,0.12629869926140017
63,587.79522063936,3965.30735379632,54.0,-0.04238913870151154,-0.0644297802675521,-0.04120035284177398,-0.05761820575919168,0.03890527399329198,0.11989085409352404
64,511.20045336943775,4034.756555075861,54.0,-0.04238913870151154,-0.000546665360416057,-0.04120035284177398,-0.0015696998382881383,0.03890527399329198,0.11656581576657533
65,628.569594659982,4182.409690156388,54.0,-0.04238913870151154,-0.023329633964404555,-0.04120035284177398,-0.022133643701823122,0.03890527399329198,0.11930916245097074
66,292.2609771757026,3909.816818957042,54.0,-0.04238913870151154,-0.02555458114509425,-0.04120035284177398,-0.02611688724309575,0.03890527399329198,0.12004881435344432
67,491.6009153175041,3965.873607703836,54.0,-0.04238913870151154,-0.003637217253974403,-0.04120035284177398,0.0003834232444336848,0.03890527399329198,0.118302208265733
68,551.3308823891985,4154.3829093310205,54.0,-0.04238913870151154,0.012621895488692435,-0.04120035284177398,0.014268411480813382,0.03890527399329198,0.1182824821730949
69,620.3081608477662,4442.697633686135,54.0,-0.04238913870151154,-0.07604149117636654,-0.04120035284177398,-0.07369866044508869,0.03890527399329198,0.10843966561248826
70,580.3679443218005,4175.917211801147,54.0,-0.04238913870151154,-0.0034084422629491874,-0.04120035284177398,-0.0028424885347388437,0.03890527399329198,0.1207806386120146
71,461.8106926932424,4070.996636995212,54.0,-0.04238913870151154,0.01804885659217923,-0.04120035284177398,0.01942850215722721,0.03890527399329198,0.10849143590935331
72,481.1580797342048,4104.322784187657,54.0,-0.04238913870151154,-0.011847347840243237,-0.04120035284177398,-0.013976767976543781,0.03890527399329198,0.12163418199752492
