,dc_0,ell_1e,omega_1e,tau_0,tau
prc_0.05,-0.15870298963908544,17.530514056422444,0.10632370331589257,0.11089268472605199,0.15785320881592182
prc_0.25,-0.12408018040188182,32.711324089340174,0.12782851761254313,0.13756671995379227,0.20285040124214487
prc_0.50,-0.09962794079207107,48.01439113408239,0.15354967009385262,0.16697146642873192,0.23429551071653965
prc_0.75,-0.07302003818438872,70.14874549379931,0.18363997983964697,0.20158969773740953,0.2611982047472573
prc_0.95,-0.030315139440304062,126.47007157627989,0.2353690777134558,0.2445096430295446,0.2938019862073511
mean,-0.09770436563816352,57.100743153327315,0.15904615342693185,0.17146274780497717,0.23069589336585228
