eqid,eqX,eqY,zoneUTM,dc_0_mean,dc_1e_mean,dc_0_med,dc_1e_med,dc_0_unc,dc_1e_unc
1,-392.9771644302064,3569.6159903640432,54.0,-0.008440632094445797,-0.09918543790316069,-0.009941413136171778,-0.09539112857007583,0.046499403419110845,0.14386633918361555
2,-417.402097908243,3562.456341390341,54.0,-0.008440632094445797,-0.11907861701033594,-0.009941413136171778,-0.11870476373729347,0.046499403419110845,0.14719163236117278
3,-521.8490863607117,3587.7366019941664,54.0,-0.008440632094445797,-0.08238828617236495,-0.009941413136171778,-0.07802947926095789,0.046499403419110845,0.13802851723269208
4,-516.1802860657565,3584.79723067657,54.0,-0.008440632094445797,-0.0958449387749038,-0.009941413136171778,-0.08876269942425091,0.046499403419110845,0.14004551759229772
5,-366.6419945922364,3850.319998086217,54.0,-0.008440632094445797,0.08467885224021074,-0.009941413136171778,0.0777564599278055,0.046499403419110845,0.15224880768526905
6,296.61979068975745,4128.179301772369,54.0,-0.008440632094445797,-0.0012356200973619087,-0.009941413136171778,0.00684719539799286,0.046499403419110845,0.13533509176963707
7,83.87192532983795,3901.35139849166,54.0,-0.008440632094445797,0.08606583083599698,-0.009941413136171778,0.08505367416962092,0.046499403419110845,0.1463141354008867
8,328.01618259779593,3866.898866582476,54.0,-0.008440632094445797,-0.05843439355151484,-0.009941413136171778,-0.05976709540963221,0.046499403419110845,0.1454704036104587
9,202.24335058105044,4025.5497211369657,54.0,-0.008440632094445797,-0.04707287851155353,-0.009941413136171778,-0.04681674695348789,0.046499403419110845,0.14814515702399456
10,477.9085898257795,4404.037580305916,54.0,-0.008440632094445797,0.2575757170800229,-0.009941413136171778,0.24153732354386964,0.046499403419110845,0.18173654967841116
11,-420.0218842901478,3511.5314261996805,54.0,-0.008440632094445797,-0.04373293722862894,-0.009941413136171778,-0.0456076791163743,0.046499403419110845,0.14464837471802436
12,404.480912881415,4338.111065579622,54.0,-0.008440632094445797,0.054671480779558586,-0.009941413136171778,0.05508133674953954,0.046499403419110845,0.15444491766241408
13,897.2500114832707,4778.926785247212,54.0,-0.008440632094445797,0.07688314852349831,-0.009941413136171778,0.07767176989197214,0.046499403419110845,0.1536491556854928
14,452.7920442390795,4037.3186893039,54.0,-0.008440632094445797,0.044475019103857746,-0.009941413136171778,0.04111651640943925,0.046499403419110845,0.13614209574781766
15,9.936533141897351,4088.226647492491,54.0,-0.008440632094445797,0.06338580599961047,-0.009941413136171778,0.05462633810073625,0.046499403419110845,0.1536095107483637
16,331.5278665142546,3788.394860859632,54.0,-0.008440632094445797,-0.03441691851316728,-0.009941413136171778,-0.03315973799248233,0.046499403419110845,0.12840970470899676
17,339.1199783648173,3779.719741822334,54.0,-0.008440632094445797,-0.04960654481430621,-0.009941413136171778,-0.047488753432647135,0.046499403419110845,0.13141375065658656
18,339.7794838460253,3807.442051326752,54.0,-0.008440632094445797,-0.019291268537326756,-0.009941413136171778,-0.019432897250671294,0.046499403419110845,0.13735561600007667
19,495.25662427566033,4044.955607804362,54.0,-0.008440632094445797,0.03994592869392958,-0.009941413136171778,0.0387825997905266,0.046499403419110845,0.1244857937720597
20,350.3727630331359,3756.461999998863,54.0,-0.008440632094445797,-0.01230388261733198,-0.009941413136171778,-0.014847803718100848,0.046499403419110845,0.13939926953815665
21,-211.5027362895382,3942.861107077152,54.0,-0.008440632094445797,0.11918271585351624,-0.009941413136171778,0.10938519271958276,0.046499403419110845,0.14949262327716775
