,dc_0,ell_1as,omega_1as,phi_0,phi
prc_0.05,-0.08334853199629338,22.248051512995822,0.1532417486969326,0.10448670109376565,0.11145264950396912
prc_0.25,-0.06466937307675129,27.610820247264545,0.16801681372111016,0.11940960396125049,0.14248272474755833
prc_0.50,-0.05193272477685554,32.36602296103217,0.17752687816200413,0.14344888846092513,0.16301480837546764
prc_0.75,-0.04066352767291946,37.55482211259391,0.1879642706757424,0.16857556067941085,0.1809623057928504
prc_0.95,-0.02344856650221879,46.795429782879864,0.20285602808329667,0.19327841201008292,0.1985290021092488
mean,-0.05233957624601527,33.14523158863909,0.1780056007280141,0.1454701296054168,0.16038133095723053
