,dc_0,ell_1as,omega_1as,phi_0,phi
prc_0.05,-0.037153670958996125,26.468052242496473,0.1715508174172363,0.10664535278708895,0.11261867682448166
prc_0.25,-0.016449182821101152,32.396618147436136,0.18522372809320642,0.13038628437767755,0.1409201786758985
prc_0.50,-0.0007399671677599635,37.47206247472904,0.19713500074293142,0.15440831618131223,0.16832898179951983
prc_0.75,0.015258001711054778,43.48140946341447,0.20902477407198053,0.17632825434336497,0.18938836935972428
prc_0.95,0.04165447564726189,54.173053365251896,0.2254802584505711,0.2017372942791557,0.21207911659453346
mean,0.0002405382830789706,38.587461804431285,0.1976325908595927,0.15383014323992225,0.16515524285866623
