,dc_0,ell_1as,omega_1as,phi_0,phi
prc_0.05,-0.05023808732773104,24.210794746072263,0.20169945002347264,0.10782156670637782,0.14273773925757216
prc_0.25,-0.02727843239113032,29.161074349970296,0.21542179598804606,0.13286322135742532,0.18729025485958256
prc_0.50,-0.009643361277832545,33.14808046915389,0.2282298693870816,0.1569296895507125,0.2106220189872347
prc_0.75,0.006269391089879379,38.744270532293015,0.24134243890169516,0.18896203442420612,0.22916634154037094
prc_0.95,0.034582296012460934,47.447429440325266,0.2600244053388509,0.22544491359222094,0.2511725227929623
mean,-0.009420599551965033,34.36264245568985,0.22880967365372054,0.16147299867921097,0.20589720072165088
