,dc_0,ell_1as,omega_1as,phi_0,phi
prc_0.05,-0.044968220365877505,22.36014716145086,0.2035927879874186,0.10600961818214452,0.16122762342398617
prc_0.25,-0.020890783236564667,26.942298533945944,0.22177879599680878,0.12751492313397048,0.2083632095291915
prc_0.50,-0.005413932939414214,31.121788608367275,0.23534966402425908,0.1615259924629961,0.2485414600245826
prc_0.75,0.010455962582588902,35.94669151176521,0.2498222544597653,0.2167411283046859,0.27152218096662933
prc_0.95,0.03135568071921832,44.202478946841005,0.270376577924367,0.2557900407515214,0.29191164972077394
mean,-0.005740329083535543,31.925686385027074,0.23592126665525115,0.17245694031622286,0.2387214402209609
