,dc_0,ell_1as,omega_1as,phi_0,phi
prc_0.05,-0.08914381084563881,18.991212667201445,0.14984556396893747,0.12324858591102625,0.19124319617662439
prc_0.25,-0.06764288980808537,24.452912442178395,0.172653162113029,0.15384977571584169,0.2311850359191507
prc_0.50,-0.05232302575991722,29.195641200968847,0.18791651919894006,0.19714383763879265,0.2651329749853386
prc_0.75,-0.03694227895391114,35.99974150074499,0.2057108488403198,0.2340510527955205,0.3006737089103737
prc_0.95,-0.015205248312525232,48.94853622173708,0.22989631370352928,0.2708458537981293,0.32180575662669214
mean,-0.05248888110064261,31.014495867976777,0.1891183013398002,0.19596591591427964,0.263285794290333
