,dc_0,ell_1as,omega_1as,phi_0,phi
prc_0.05,-0.12106628458226479,23.32005140814012,0.18737221074655283,0.10956784322129394,0.1794188979778709
prc_0.25,-0.0944229534183819,28.60774628879167,0.2112397849420896,0.14142674750143464,0.23926887372608865
prc_0.50,-0.0744258788755369,33.49199206593426,0.22633697925312898,0.19107912451085524,0.27476047816098603
prc_0.75,-0.0546781055287701,39.49291289601301,0.24300925283453684,0.23638164060221611,0.29940038527294144
prc_0.95,-0.029206040207453404,50.082385335228814,0.26297542166318866,0.2960815919626615,0.32790858739915724
mean,-0.07493749604138895,34.83276694290391,0.2266506606924328,0.19396804007060794,0.2661338779728622
