cell_name,cell_i,cellX,cellY,zoneUTM,c_a_erg,c_ca_mean,c_ca_med,c_ca_unc
c.285,285,-587.5,3737.5,54.0,-0.0026,-0.0038254414630960213,-0.003778666257185712,0.001838046701850896
c.346,346,-562.5,3562.5,54.0,-0.0026,-0.0043702477477296844,-0.004321177436053276,0.001876923831034368
c.353,353,-562.5,3737.5,54.0,-0.0026,-0.003987051543385212,-0.003907032869655821,0.001795846566050029
c.354,354,-562.5,3762.5,54.0,-0.0026,-0.004032588078663361,-0.003968006023390305,0.001843393215436274
c.414,414,-537.5,3562.5,54.0,-0.0026,-0.004351063612522968,-0.0043364864712076845,0.0018972900049330935
c.415,415,-537.5,3587.5,54.0,-0.0026,-0.004152875466248588,-0.004049118289065344,0.0017821733954834595
c.416,416,-537.5,3612.5,54.0,-0.0026,-0.003689654559279921,-0.0036104676273518684,0.0016861930878313094
c.420,420,-537.5,3712.5,54.0,-0.0026,-0.00393159846779677,-0.0038200268176962126,0.001743730451099033
c.421,421,-537.5,3737.5,54.0,-0.0026,-0.004149840022041822,-0.004123146625754581,0.0017071084093118725
c.422,422,-537.5,3762.5,54.0,-0.0026,-0.004190304140608902,-0.004186662507728028,0.0017680335407023733
c.480,480,-512.5,3512.5,54.0,-0.0026,-0.0042567941906904725,-0.004225482484444745,0.0019037216529798255
c.481,481,-512.5,3537.5,54.0,-0.0026,-0.00445405558183277,-0.004423754034661332,0.001815135643678588
c.482,482,-512.5,3562.5,54.0,-0.0026,-0.004171760785217695,-0.004183444736745532,0.001667357084602839
c.483,483,-512.5,3587.5,54.0,-0.0026,-0.003341673088366462,-0.003247613531329012,0.0014535183498908728
c.484,484,-512.5,3612.5,54.0,-0.0026,-0.003004020843623366,-0.002941229814204088,0.001390747453141834
c.485,485,-512.5,3637.5,54.0,-0.0026,-0.003117391460065841,-0.0030439002666819044,0.0016073127704846564
c.486,486,-512.5,3662.5,54.0,-0.0026,-0.0033136984905711925,-0.0032062022771581437,0.0015771634769526548
c.487,487,-512.5,3687.5,54.0,-0.0026,-0.003431697066751951,-0.003353468851801533,0.0016223494715985884
c.488,488,-512.5,3712.5,54.0,-0.0026,-0.0034990709512933015,-0.0034236889691235135,0.0016306380273679493
c.489,489,-512.5,3737.5,54.0,-0.0026,-0.0035538880214617766,-0.0034943138869618657,0.0015424714987227214
c.490,490,-512.5,3762.5,54.0,-0.0026,-0.00390443090908887,-0.0038517933856407555,0.0015636224418456805
c.491,491,-512.5,3787.5,54.0,-0.0026,-0.004102880112597697,-0.0040295020929217735,0.0017274489442887673
c.547,547,-487.5,3487.5,54.0,-0.0026,-0.004223130184814108,-0.004134478549842649,0.0019209164616754673
