,dc_0,ell_ca1,omega_ca1,omega_ca2,phi_0
prc_0.05,0.056185077105762274,16.945196113890496,0.003302810875056468,8.656057394847693e-05,0.3690300278147403
prc_0.25,0.0728374916013828,19.776398692042783,0.00374627840969129,0.00044438578365680595,0.37299802049484587
prc_0.50,0.08388041090635404,22.06771944457235,0.003972917965766515,0.0009317624781467039,0.3760379830033215
prc_0.75,0.09521710216900584,24.94401649095863,0.00416944086077606,0.001560427750385969,0.37894273284726504
prc_0.95,0.11160868575286592,30.737574958873335,0.0044422361956264755,0.002419250157127901,0.3834918502852766
mean,0.08391242663829532,22.724503415187748,0.003941932530067063,0.0010548587768301647,0.3760697608915699
