cell_name,cell_i,cellX,cellY,zoneUTM,c_a_erg,c_ca_mean,c_ca_med,c_ca_unc
c.285,285,-587.5,3737.5,54.0,-0.00531,-0.006025461186873115,-0.0060271985570046396,0.003018603476063483
c.346,346,-562.5,3562.5,54.0,-0.00531,-0.00736182216384708,-0.007269041609450246,0.0029214879849933277
c.353,353,-562.5,3737.5,54.0,-0.00531,-0.006564914295336899,-0.006420224302763596,0.002906445492521722
c.354,354,-562.5,3762.5,54.0,-0.00531,-0.006192029051966418,-0.006116111663000189,0.0028151834749323193
c.414,414,-537.5,3562.5,54.0,-0.00531,-0.007317345149075267,-0.007262917422059204,0.0028971916152645627
c.415,415,-537.5,3587.5,54.0,-0.00531,-0.006799381619968789,-0.006748278793617616,0.002771782823344018
c.416,416,-537.5,3612.5,54.0,-0.00531,-0.006168671816682816,-0.006015464415128013,0.002769354668756754
c.420,420,-537.5,3712.5,54.0,-0.00531,-0.006954479818629953,-0.006882664487219194,0.0028599587908869333
c.421,421,-537.5,3737.5,54.0,-0.00531,-0.00710787134444475,-0.007080513576047642,0.002592482863528887
c.422,422,-537.5,3762.5,54.0,-0.00531,-0.006669065189806128,-0.006582094805944124,0.0027312530957125784
c.480,480,-512.5,3512.5,54.0,-0.00531,-0.007136404601790834,-0.007053593562573501,0.002821087469953946
c.481,481,-512.5,3537.5,54.0,-0.00531,-0.007732704494851293,-0.00773277217945333,0.002448782558864019
c.482,482,-512.5,3562.5,54.0,-0.00531,-0.00683125848856814,-0.006801361695298465,0.0025281977350235705
c.483,483,-512.5,3587.5,54.0,-0.00531,-0.005265198034087796,-0.005275990551025938,0.002274212214911193
c.484,484,-512.5,3612.5,54.0,-0.00531,-0.005071487330137426,-0.0050248215482195475,0.0021832812202758505
c.485,485,-512.5,3637.5,54.0,-0.00531,-0.005437893718207314,-0.005368259786403,0.002447983930399932
c.486,486,-512.5,3662.5,54.0,-0.00531,-0.005557842109730421,-0.005661504142975296,0.0026242543253879045
c.487,487,-512.5,3687.5,54.0,-0.00531,-0.006314403177160544,-0.006210927551372083,0.0027503075698777045
c.488,488,-512.5,3712.5,54.0,-0.00531,-0.0067719108963865855,-0.006681603512788779,0.002746103577177952
c.489,489,-512.5,3737.5,54.0,-0.00531,-0.00666581127328259,-0.0066374649756706875,0.002549577153041474
c.490,490,-512.5,3762.5,54.0,-0.00531,-0.006572800900854378,-0.006501626716221424,0.0025048475047894326
c.491,491,-512.5,3787.5,54.0,-0.00531,-0.006261597509099536,-0.006137198218972013,0.0026679037252460166
c.547,547,-487.5,3487.5,54.0,-0.00531,-0.007274692081880336,-0.0072053270603055905,0.0028606631528700008
c.548,548,-487.5,3512.5,54.0,-0.00531,-0.008058082159845157,-0.008105674257988126,0.0029611187170526165
c.549,549,-487.5,3537.5,54.0,-0.00531,-0.007622559477854235,-0.007618834772855613,0.002702132792021005
c.550,550,-487.5,3562.5,54.0,-0.00531,-0.00555902203871917,-0.005402213950111612,0.002772220634620897
c.551,551,-487.5,3587.5,54.0,-0.00531,-0.0049151861117630365,-0.004761967416802037,0.002489843131505087
c.552,552,-487.5,3612.5,54.0,-0.00531,-0.006492518297899514,-0.006487299735010807,0.002512892508952779
c.553,553,-487.5,3637.5,54.0,-0.00531,-0.0063641483874660575,-0.0062480486757000245,0.002557081497829889
c.554,554,-487.5,3662.5,54.0,-0.00531,-0.006151426423424275,-0.0060772198309515125,0.0026113105576474715
c.555,555,-487.5,3687.5,54.0,-0.00531,-0.0062499957825493556,-0.006210495505279202,0.002753533697307777
c.556,556,-487.5,3712.5,54.0,-0.00531,-0.006172688617271264,-0.0061220428463954505,0.0026379863895279283
c.557,557,-487.5,3737.5,54.0,-0.00531,-0.005887073465903323,-0.005728199055240128,0.002275145181815694
c.558,558,-487.5,3762.5,54.0,-0.00531,-0.004793976160678011,-0.0047839663818888215,0.0021619726473770173
c.559,559,-487.5,3787.5,54.0,-0.00531,-0.006304588463872071,-0.0062015550444974085,0.0025865205939379706
c.615,615,-462.5,3487.5,54.0,-0.00531,-0.006507002830348565,-0.006445914453781216,0.002976528567227248
c.616,616,-462.5,3512.5,54.0,-0.00531,-0.00706181365461183,-0.0069701927981805824,0.0027557173279105854
c.617,617,-462.5,3537.5,54.0,-0.00531,-0.006303412155796252,-0.006256537226626559,0.0026649889497484167
c.618,618,-462.5,3562.5,54.0,-0.00531,-0.005572571863061719,-0.0054566669099143745,0.002700683214764138
c.619,619,-462.5,3587.5,54.0,-0.00531,-0.005097144146581759,-0.005003358238102573,0.0024604988370865045
c.620,620,-462.5,3612.5,54.0,-0.00531,-0.007008008460325427,-0.007048260668315964,0.0024607795827679873
c.621,621,-462.5,3637.5,54.0,-0.00531,-0.006581604554800146,-0.0065406136062573185,0.002729171525504104
c.622,622,-462.5,3662.5,54.0,-0.00531,-0.00671293118512702,-0.006613436715786585,0.0025310363462644706
c.623,623,-462.5,3687.5,54.0,-0.00531,-0.006676460931559131,-0.006632088384397353,0.0024866838688356627
c.624,624,-462.5,3712.5,54.0,-0.00531,-0.005798152974461672,-0.005850610477740106,0.0024634306912016154
c.625,625,-462.5,3737.5,54.0,-0.00531,-0.004419889055550001,-0.004213454051743939,0.0022608983158627994
c.626,626,-462.5,3762.5,54.0,-0.00531,-0.004108816780937982,-0.004056832310341825,0.0020611982425610864
c.627,627,-462.5,3787.5,54.0,-0.00531,-0.006625330973842336,-0.006666126739830193,0.00240857601444685
c.628,628,-462.5,3812.5,54.0,-0.00531,-0.006378820928974541,-0.006430319656490175,0.002703643137408209
c.684,684,-437.5,3512.5,54.0,-0.00531,-0.006104987285792461,-0.005860033079854547,0.002801330567680918
c.685,685,-437.5,3537.5,54.0,-0.00531,-0.00609833832445656,-0.0060475942845729215,0.002759597896587342
c.686,686,-437.5,3562.5,54.0,-0.00531,-0.005807577515596591,-0.005767888513007789,0.0026141918706599726
c.687,687,-437.5,3587.5,54.0,-0.00531,-0.005539164430801601,-0.005461908028402993,0.0023881159867887745
c.688,688,-437.5,3612.5,54.0,-0.00531,-0.006181907805708494,-0.006122489040004892,0.002499219783986441
c.689,689,-437.5,3637.5,54.0,-0.00531,-0.0066156326935068056,-0.006543349971251968,0.0026548525605738734
c.690,690,-437.5,3662.5,54.0,-0.00531,-0.006387699722214753,-0.006318940179136024,0.002807280149956783
c.691,691,-437.5,3687.5,54.0,-0.00531,-0.006328587598219417,-0.006202819149500957,0.0027589943019274954
c.692,692,-437.5,3712.5,54.0,-0.00531,-0.005539008973360852,-0.005412973476427163,0.002498158094783644
c.693,693,-437.5,3737.5,54.0,-0.00531,-0.0052839360468964125,-0.005227961470720551,0.0023838819418498087
c.694,694,-437.5,3762.5,54.0,-0.00531,-0.004752058168652075,-0.004613847563925376,0.0022904663758628466
c.695,695,-437.5,3787.5,54.0,-0.00531,-0.006141227878347729,-0.006074947711271268,0.0025062091290865606
c.696,696,-437.5,3812.5,54.0,-0.00531,-0.006338127550104192,-0.006373954196285036,0.0024412004169278227
c.697,697,-437.5,3837.5,54.0,-0.00531,-0.006593325732659551,-0.006683153601128668,0.002737967449971972
c.753,753,-412.5,3537.5,54.0,-0.00531,-0.005872165653395745,-0.005729577654634718,0.0026228412823328835
c.754,754,-412.5,3562.5,54.0,-0.00531,-0.006411704541015342,-0.006393953786116489,0.0025662943616419093
c.755,755,-412.5,3587.5,54.0,-0.00531,-0.0058699662953268445,-0.005874108633060395,0.002518471692810257
c.756,756,-412.5,3612.5,54.0,-0.00531,-0.00492632250817182,-0.004767189152423105,0.002640943416389401
c.757,757,-412.5,3637.5,54.0,-0.00531,-0.006348794782693865,-0.006366187748310595,0.0027098743234565703
c.759,759,-412.5,3687.5,54.0,-0.00531,-0.006371099567567437,-0.0062182633085978364,0.002908974430628681
c.760,760,-412.5,3712.5,54.0,-0.00531,-0.0060906656829118515,-0.005965493395443074,0.002689511327738948
c.761,761,-412.5,3737.5,54.0,-0.00531,-0.005704437986977577,-0.0056191703084011325,0.0026281574960157796
c.762,762,-412.5,3762.5,54.0,-0.00531,-0.005451681895507513,-0.005409324224269233,0.002597755118044403
c.763,763,-412.5,3787.5,54.0,-0.00531,-0.006028423892973112,-0.0059766133998147685,0.002549057226694013
c.764,764,-412.5,3812.5,54.0,-0.00531,-0.005738165304512688,-0.0056665367161820865,0.002354956702390888
c.765,765,-412.5,3837.5,54.0,-0.00531,-0.0069995734312181535,-0.007030319089711931,0.002596375273171341
c.821,821,-387.5,3537.5,54.0,-0.00531,-0.0060871078777131596,-0.006010368130982143,0.0027486998206061844
c.822,822,-387.5,3562.5,54.0,-0.00531,-0.0063607887769327265,-0.006261186395259042,0.0026013462176685876
c.823,823,-387.5,3587.5,54.0,-0.00531,-0.005740691606659273,-0.005748387011434888,0.002682774791178326
c.824,824,-387.5,3612.5,54.0,-0.00531,-0.0046754257104444225,-0.004541638658175318,0.0024034913851160777
c.825,825,-387.5,3637.5,54.0,-0.00531,-0.0057189873133600775,-0.005536723785093714,0.002667183259357551
c.826,826,-387.5,3662.5,54.0,-0.00531,-0.0065899816848052,-0.006586214277849138,0.002903465431399134
c.827,827,-387.5,3687.5,54.0,-0.00531,-0.00651656862254504,-0.006433534925880509,0.0027488336990725316
c.828,828,-387.5,3712.5,54.0,-0.00531,-0.006495679579747244,-0.006427119528210172,0.002846764417968514
c.829,829,-387.5,3737.5,54.0,-0.00531,-0.006363814920924202,-0.006336596597481359,0.0027318444288998403
c.830,830,-387.5,3762.5,54.0,-0.00531,-0.005743292779302148,-0.005642877736560239,0.0025480701570416123
c.831,831,-387.5,3787.5,54.0,-0.00531,-0.0057623658755209,-0.005859657815322009,0.002553982125452599
c.832,832,-387.5,3812.5,54.0,-0.00531,-0.006506716152098426,-0.00646582137349647,0.0024347342885136
c.833,833,-387.5,3837.5,54.0,-0.00531,-0.0075385363133620925,-0.00754464956409426,0.002271514225758258
c.834,834,-387.5,3862.5,54.0,-0.00531,-0.0060853697293401406,-0.006025537489860158,0.0026608541062656563
c.891,891,-362.5,3587.5,54.0,-0.00531,-0.005238711383257327,-0.005189708636793175,0.0024308301982907533
c.892,892,-362.5,3612.5,54.0,-0.00531,-0.005297503846126603,-0.005129807376852532,0.0024203298781675054
c.893,893,-362.5,3637.5,54.0,-0.00531,-0.00605019535031695,-0.006070026358685846,0.002440116193883951
c.894,894,-362.5,3662.5,54.0,-0.00531,-0.006632418327095464,-0.006601548310718486,0.0025011267356831288
c.895,895,-362.5,3687.5,54.0,-0.00531,-0.006994418346634899,-0.006976266226306645,0.002628600178767387
c.896,896,-362.5,3712.5,54.0,-0.00531,-0.006903390795731171,-0.006875360183284185,0.002716010310697742
c.897,897,-362.5,3737.5,54.0,-0.00531,-0.006716566481934634,-0.006738556097759744,0.0027333582586843
c.898,898,-362.5,3762.5,54.0,-0.00531,-0.006270485583342551,-0.0061779299667739885,0.002521112838465743
c.899,899,-362.5,3787.5,54.0,-0.00531,-0.006638024464292661,-0.006566422147464536,0.002542955612793948
c.900,900,-362.5,3812.5,54.0,-0.00531,-0.007613384659386362,-0.007591405436969723,0.002455269866447336
c.901,901,-362.5,3837.5,54.0,-0.00531,-0.008683199211466429,-0.008722233519053584,0.0020483811566288732
c.902,902,-362.5,3862.5,54.0,-0.00531,-0.005154747909052553,-0.005035628160126206,0.002231519837311605
c.959,959,-337.5,3587.5,54.0,-0.00531,-0.005814406778749081,-0.005644312670957218,0.0026617085054409326
c.960,960,-337.5,3612.5,54.0,-0.00531,-0.006186738422979322,-0.006133179820659099,0.0027311005196241503
c.961,961,-337.5,3637.5,54.0,-0.00531,-0.006427082443381773,-0.006427894278461495,0.0028418641897646514
c.964,964,-337.5,3712.5,54.0,-0.00531,-0.006980248739804248,-0.006876449710655245,0.0028722724337175666
c.965,965,-337.5,3737.5,54.0,-0.00531,-0.0069977747328012424,-0.006912082100038845,0.0028541814341862927
c.966,966,-337.5,3762.5,54.0,-0.00531,-0.006799370648557983,-0.006815853767215317,0.002724550173419288
c.967,967,-337.5,3787.5,54.0,-0.00531,-0.007434980487803739,-0.007450711868964684,0.0025993159343936363
