cell_name,cell_i,cellX,cellY,zoneUTM,c_a_erg,c_ca_mean,c_ca_med,c_ca_unc
c.285,285,-587.5,3737.5,54.0,-0.00746,-0.007730920572275194,-0.007610411509195759,0.003462835000503925
c.346,346,-562.5,3562.5,54.0,-0.00746,-0.008789349441947945,-0.008704421018253104,0.0031432142197311175
c.353,353,-562.5,3737.5,54.0,-0.00746,-0.007888540847785504,-0.007824239113543224,0.003236264628164453
c.354,354,-562.5,3762.5,54.0,-0.00746,-0.007709214583941234,-0.007746555260022439,0.0032750897330024783
c.414,414,-537.5,3562.5,54.0,-0.00746,-0.008630279556165268,-0.008649419468786789,0.0031011469880905394
c.415,415,-537.5,3587.5,54.0,-0.00746,-0.009206310587395522,-0.009245458650947386,0.0032217440368838913
c.416,416,-537.5,3612.5,54.0,-0.00746,-0.009488505346291618,-0.009369910777919661,0.003182084964362587
c.420,420,-537.5,3712.5,54.0,-0.00746,-0.009255835872742358,-0.009222194858901644,0.0033259210128024144
c.421,421,-537.5,3737.5,54.0,-0.00746,-0.009672538831274825,-0.009705343638979725,0.003234348103035075
c.422,422,-537.5,3762.5,54.0,-0.00746,-0.008039475794614025,-0.008061001350172575,0.0032008356305721374
c.480,480,-512.5,3512.5,54.0,-0.00746,-0.007725865515833422,-0.007636974255265256,0.0033620121051449333
c.481,481,-512.5,3537.5,54.0,-0.00746,-0.008335656837244156,-0.008292651793288,0.0027977732974081584
c.482,482,-512.5,3562.5,54.0,-0.00746,-0.00825811716903581,-0.00833094111772716,0.002922124922291835
c.483,483,-512.5,3587.5,54.0,-0.00746,-0.007473717825390089,-0.007467913698052695,0.0027997966820094617
c.484,484,-512.5,3612.5,54.0,-0.00746,-0.009024419239004627,-0.00896922725767334,0.0025677193078801033
c.485,485,-512.5,3637.5,54.0,-0.00746,-0.009474346676950959,-0.00954843240300752,0.0031155364266698174
c.486,486,-512.5,3662.5,54.0,-0.00746,-0.00944349477489218,-0.009440093810634605,0.0032612721131892787
c.487,487,-512.5,3687.5,54.0,-0.00746,-0.008984626558640147,-0.008965069243380846,0.003376387740651307
c.488,488,-512.5,3712.5,54.0,-0.00746,-0.008962486744653044,-0.009002040528979838,0.0032986092321406926
c.489,489,-512.5,3737.5,54.0,-0.00746,-0.009949327724620038,-0.009912451983380977,0.00298901423551186
c.490,490,-512.5,3762.5,54.0,-0.00746,-0.00918509926013133,-0.009197615392188574,0.003034169217423259
c.491,491,-512.5,3787.5,54.0,-0.00746,-0.008011634924947286,-0.007979484244486832,0.003269396887506493
c.547,547,-487.5,3487.5,54.0,-0.00746,-0.008858504171457072,-0.008893285795893893,0.003503277575355143
c.548,548,-487.5,3512.5,54.0,-0.00746,-0.010108789460419673,-0.009976118502922592,0.003273248066441484
c.549,549,-487.5,3537.5,54.0,-0.00746,-0.009277190918428845,-0.009302205199069762,0.003157228684370635
c.550,550,-487.5,3562.5,54.0,-0.00746,-0.008012009322210953,-0.007894342776908397,0.0029673591843383425
c.551,551,-487.5,3587.5,54.0,-0.00746,-0.007499506029531757,-0.007426475138454817,0.0028483122397934507
c.552,552,-487.5,3612.5,54.0,-0.00746,-0.009869591046732615,-0.009850890656902832,0.002965470474385692
c.553,553,-487.5,3637.5,54.0,-0.00746,-0.009994712349533166,-0.009997194447599462,0.00301755760206211
c.554,554,-487.5,3662.5,54.0,-0.00746,-0.009289116980929912,-0.009280799208540535,0.0031988677729321573
c.555,555,-487.5,3687.5,54.0,-0.00746,-0.00892322487801544,-0.009004976125840471,0.003123812733906356
