cell_name,cell_i,cellX,cellY,zoneUTM,c_a_erg,c_ca_mean,c_ca_med,c_ca_unc
c.285,285,-587.5,3737.5,54.0,-0.0094,-0.009495662924818689,-0.009587975134259245,0.0036061669849354696
c.346,346,-562.5,3562.5,54.0,-0.0094,-0.008540328352503334,-0.008520039637496514,0.003729966774810869
c.353,353,-562.5,3737.5,54.0,-0.0094,-0.009738158689871948,-0.009735566841542895,0.0034889987161450618
c.354,354,-562.5,3762.5,54.0,-0.0094,-0.009572652827590676,-0.009522250466400112,0.003709670445863665
c.414,414,-537.5,3562.5,54.0,-0.0094,-0.008765018900826116,-0.008877335598827682,0.0035555440034193944
c.415,415,-537.5,3587.5,54.0,-0.0094,-0.010446565133746354,-0.010279321344976389,0.003308070150359599
c.416,416,-537.5,3612.5,54.0,-0.0094,-0.011541875844400884,-0.011337833827123897,0.0034634666493115083
c.420,420,-537.5,3712.5,54.0,-0.0094,-0.011454851145070132,-0.011471703190123144,0.0033541500561001495
c.421,421,-537.5,3737.5,54.0,-0.0094,-0.011764644645081175,-0.011900015350142217,0.0034694077103224097
c.422,422,-537.5,3762.5,54.0,-0.0094,-0.009874061296332854,-0.00989061069854965,0.0033737225257281047
c.480,480,-512.5,3512.5,54.0,-0.0094,-0.009396064675859706,-0.00940397437801773,0.003557872907742814
c.481,481,-512.5,3537.5,54.0,-0.0094,-0.010129636440772315,-0.010105475488888127,0.0029744132343026324
c.482,482,-512.5,3562.5,54.0,-0.0094,-0.009987394383323417,-0.010007575707072853,0.002967424925728563
c.483,483,-512.5,3587.5,54.0,-0.0094,-0.00937533704844096,-0.009454683590691796,0.0029889501388860097
c.484,484,-512.5,3612.5,54.0,-0.0094,-0.011151324544421757,-0.011098330150991802,0.0029435484315735714
c.485,485,-512.5,3637.5,54.0,-0.0094,-0.011733763615587443,-0.011602584164871008,0.003443815556656933
c.486,486,-512.5,3662.5,54.0,-0.0094,-0.012175039079193125,-0.01227611492802167,0.0035944181370563062
c.487,487,-512.5,3687.5,54.0,-0.0094,-0.010988533941581625,-0.010972959194072781,0.0036093020164013325
c.488,488,-512.5,3712.5,54.0,-0.0094,-0.010673939466295206,-0.010647146695260953,0.003624248357830466
c.489,489,-512.5,3737.5,54.0,-0.0094,-0.012242892522591713,-0.012394685374923012,0.0032874341618894807
c.490,490,-512.5,3762.5,54.0,-0.0094,-0.011295208108454859,-0.011287163504679482,0.003183416198459044
c.491,491,-512.5,3787.5,54.0,-0.0094,-0.009729715708510561,-0.009741836042118757,0.0034462339388550032
c.547,547,-487.5,3487.5,54.0,-0.0094,-0.011004390217806364,-0.011071560955001197,0.0037195175010273454
c.548,548,-487.5,3512.5,54.0,-0.0094,-0.012227567348263984,-0.012238960585040329,0.003501086100025298
c.549,549,-487.5,3537.5,54.0,-0.0094,-0.011061100909469736,-0.011139307520123973,0.0033040523346128978
c.550,550,-487.5,3562.5,54.0,-0.0094,-0.010178699566440927,-0.010267114506889604,0.0033989119704293125
c.551,551,-487.5,3587.5,54.0,-0.0094,-0.009651187547548378,-0.009479346206861531,0.003105908825609341
c.552,552,-487.5,3612.5,54.0,-0.0094,-0.012161940513029885,-0.012052552004975787,0.003163971959757857
c.553,553,-487.5,3637.5,54.0,-0.0094,-0.012744061296857638,-0.012630222912418386,0.0035229768206027426
c.554,554,-487.5,3662.5,54.0,-0.0094,-0.01192843741821323,-0.011990770029812144,0.003470255137058915
c.555,555,-487.5,3687.5,54.0,-0.0094,-0.011288239983359,-0.011171848917419128,0.0035507178419566226
c.556,556,-487.5,3712.5,54.0,-0.0094,-0.010837966978739991,-0.010835261637490327,0.0031351487953352876
c.557,557,-487.5,3737.5,54.0,-0.0094,-0.010691866742902652,-0.01076620189248731,0.0030813527413036433
c.558,558,-487.5,3762.5,54.0,-0.0094,-0.00928063819778794,-0.009136479262135587,0.0026316602482541556
c.559,559,-487.5,3787.5,54.0,-0.0094,-0.009571003438458417,-0.009498485301371764,0.0029926606765177943
c.615,615,-462.5,3487.5,54.0,-0.0094,-0.009678137515859895,-0.009599613478645987,0.0035573538763162297
c.616,616,-462.5,3512.5,54.0,-0.0094,-0.009970355000569697,-0.00981675662827678,0.003445463334660381
c.617,617,-462.5,3537.5,54.0,-0.0094,-0.010440223087180792,-0.0105512939697201,0.0034001729120564767
c.618,618,-462.5,3562.5,54.0,-0.0094,-0.01026844362558661,-0.010116617901067718,0.0034195957301993334
c.619,619,-462.5,3587.5,54.0,-0.0094,-0.009917842577650856,-0.010009431018983748,0.0032989262981534093
c.620,620,-462.5,3612.5,54.0,-0.0094,-0.010726952125293801,-0.010649363490022025,0.0029871700181579326
c.621,621,-462.5,3637.5,54.0,-0.0094,-0.010849324038374186,-0.010767945503168133,0.003603766991588567
c.622,622,-462.5,3662.5,54.0,-0.0094,-0.01153729537999551,-0.011479609023998447,0.003075120315183268
c.623,623,-462.5,3687.5,54.0,-0.0094,-0.010868598850742341,-0.010768331150285615,0.0031959712049496962
c.624,624,-462.5,3712.5,54.0,-0.0094,-0.010307518919573676,-0.010331298554194365,0.0029851190259363894
c.625,625,-462.5,3737.5,54.0,-0.0094,-0.009792555598648892,-0.009680599531921057,0.003046578834190149
c.626,626,-462.5,3762.5,54.0,-0.0094,-0.007813176948340293,-0.007688351744412625,0.0029313532594975105
c.627,627,-462.5,3787.5,54.0,-0.0094,-0.00923391637484274,-0.009149719355256755,0.0028656021528267145
c.628,628,-462.5,3812.5,54.0,-0.0094,-0.008877950995319565,-0.008734816802797645,0.0031486925348409916
c.684,684,-437.5,3512.5,54.0,-0.0094,-0.008850969946525844,-0.009012594145751236,0.003430403222412088
c.685,685,-437.5,3537.5,54.0,-0.0094,-0.00988176394466176,-0.00986482239982607,0.003288244228840483
c.686,686,-437.5,3562.5,54.0,-0.0094,-0.010250743395123479,-0.010200695680048737,0.003247170310198067
c.687,687,-437.5,3587.5,54.0,-0.0094,-0.010152988435517563,-0.010197236103138892,0.0032167221790823284
c.688,688,-437.5,3612.5,54.0,-0.0094,-0.009004852968904402,-0.008938510405139244,0.0032458063514490235
c.689,689,-437.5,3637.5,54.0,-0.0094,-0.009680828848003137,-0.009650062704321286,0.003349052591244617
c.690,690,-437.5,3662.5,54.0,-0.0094,-0.010270883104941703,-0.010264827571107162,0.0035516485488761612
c.691,691,-437.5,3687.5,54.0,-0.0094,-0.010066116849379641,-0.01002701945108286,0.00344617648043633
c.692,692,-437.5,3712.5,54.0,-0.0094,-0.009438159799046377,-0.009431414569778763,0.003114942897295375
c.693,693,-437.5,3737.5,54.0,-0.0094,-0.010854202240126357,-0.010882709664398004,0.0034300102078981647
c.694,694,-437.5,3762.5,54.0,-0.0094,-0.008729734750344777,-0.00876275924160919,0.0031159684210822535
c.695,695,-437.5,3787.5,54.0,-0.0094,-0.010377023758140369,-0.010371173110088333,0.003214813063549147
c.696,696,-437.5,3812.5,54.0,-0.0094,-0.008461898244828703,-0.008465483383852076,0.0028579210761329006
c.697,697,-437.5,3837.5,54.0,-0.0094,-0.009738054105758624,-0.00983103906571393,0.0036549470886896554
c.753,753,-412.5,3537.5,54.0,-0.0094,-0.008853545317892963,-0.008669494720757915,0.0032406978156261394
c.754,754,-412.5,3562.5,54.0,-0.0094,-0.010199132154837257,-0.010167213862774579,0.003219817732068293
c.755,755,-412.5,3587.5,54.0,-0.0094,-0.009239638915779533,-0.00929703715710348,0.003075247661365992
c.756,756,-412.5,3612.5,54.0,-0.0094,-0.008000223051957524,-0.007983810306630893,0.0031508575826771283
c.757,757,-412.5,3637.5,54.0,-0.0094,-0.008508544185141055,-0.008429967532165565,0.0033020318305998692
c.759,759,-412.5,3687.5,54.0,-0.0094,-0.009938650013467604,-0.010069327709413396,0.0036663962875563114
c.760,760,-412.5,3712.5,54.0,-0.0094,-0.011486968695825599,-0.011517114225091806,0.003441124471705714
c.761,761,-412.5,3737.5,54.0,-0.0094,-0.010062020215667995,-0.010084705764118854,0.003527727114283887
c.762,762,-412.5,3762.5,54.0,-0.0094,-0.010224649835472792,-0.010182765827775633,0.003290316096938289
c.763,763,-412.5,3787.5,54.0,-0.0094,-0.010851510411342767,-0.010848295121227378,0.0035258240422709644
c.764,764,-412.5,3812.5,54.0,-0.0094,-0.011109604583033582,-0.011138807320701914,0.0030443177399422944
c.765,765,-412.5,3837.5,54.0,-0.0094,-0.010753181417774637,-0.010836942263049055,0.0030534784698902345
c.821,821,-387.5,3537.5,54.0,-0.0094,-0.009391474538773988,-0.009325257234709776,0.0035374261325407863
c.822,822,-387.5,3562.5,54.0,-0.0094,-0.009217181833324333,-0.009454693111164186,0.0032499658674368026
c.823,823,-387.5,3587.5,54.0,-0.0094,-0.007464218119267726,-0.007403283080448285,0.003239721844394708
c.824,824,-387.5,3612.5,54.0,-0.0094,-0.00807896134125838,-0.007911160888954796,0.0030222587717568692
c.825,825,-387.5,3637.5,54.0,-0.0094,-0.008620863702537791,-0.008605212278689454,0.0030964594533648975
c.826,826,-387.5,3662.5,54.0,-0.0094,-0.009806808697383764,-0.00971125367766228,0.0033542610208140977
c.827,827,-387.5,3687.5,54.0,-0.0094,-0.010476680431702414,-0.010488275046955594,0.003602342363079494
c.828,828,-387.5,3712.5,54.0,-0.0094,-0.01085155087494305,-0.010754679863246418,0.0037124862422680425
c.829,829,-387.5,3737.5,54.0,-0.0094,-0.011086970879620033,-0.011007081651411215,0.0034534616926411147
c.830,830,-387.5,3762.5,54.0,-0.0094,-0.010287512406376856,-0.010340146590132708,0.0033670561724403704
c.831,831,-387.5,3787.5,54.0,-0.0094,-0.00947685303878818,-0.009557430721442549,0.00315736947396507
c.832,832,-387.5,3812.5,54.0,-0.0094,-0.010540226544085346,-0.01049125037727151,0.00297489906872903
c.833,833,-387.5,3837.5,54.0,-0.0094,-0.012581435827954792,-0.012547204203938008,0.0029195410526660246
c.834,834,-387.5,3862.5,54.0,-0.0094,-0.01057998812220298,-0.010364231800519645,0.003317668506312934
c.891,891,-362.5,3587.5,54.0,-0.0094,-0.009392742323695158,-0.009334650012407549,0.00319186971355094
c.892,892,-362.5,3612.5,54.0,-0.0094,-0.009012266230549838,-0.00893696571949773,0.0031780432409208863
c.893,893,-362.5,3637.5,54.0,-0.0094,-0.009464137791984368,-0.009383258270081357,0.0031759376890546876
c.894,894,-362.5,3662.5,54.0,-0.0094,-0.010113230854337667,-0.010139619446133907,0.0033316315695326357
c.895,895,-362.5,3687.5,54.0,-0.0094,-0.010296275159493192,-0.010260383500299954,0.003353541905059764
c.896,896,-362.5,3712.5,54.0,-0.0094,-0.010708734375496312,-0.010622321222364072,0.0033823884960763116
c.897,897,-362.5,3737.5,54.0,-0.0094,-0.011613742029510757,-0.011421355682216812,0.003495347444622225
c.898,898,-362.5,3762.5,54.0,-0.0094,-0.011102674988687035,-0.01113940487040526,0.0030116616915661105
c.899,899,-362.5,3787.5,54.0,-0.0094,-0.010645780867197611,-0.010616384784534399,0.0028169333168135396
c.900,900,-362.5,3812.5,54.0,-0.0094,-0.010178317145361274,-0.010249494134984605,0.0029983739451047613
c.901,901,-362.5,3837.5,54.0,-0.0094,-0.010173942955611354,-0.01021177408442239,0.002558235525125447
c.902,902,-362.5,3862.5,54.0,-0.0094,-0.007123143828630892,-0.0071131581007863095,0.003006537022283754
c.959,959,-337.5,3587.5,54.0,-0.0094,-0.009715244314732155,-0.009750307228320109,0.003790364646865108
c.960,960,-337.5,3612.5,54.0,-0.0094,-0.01070113159500069,-0.01060001195128453,0.003503723851932923
c.961,961,-337.5,3637.5,54.0,-0.0094,-0.010518127398273206,-0.010332327012846868,0.003405350649936809
c.964,964,-337.5,3712.5,54.0,-0.0094,-0.01049629659319059,-0.010434412306525736,0.0035935289385766304
c.965,965,-337.5,3737.5,54.0,-0.0094,-0.010924748890060617,-0.011017530613573422,0.0034021069862184765
c.966,966,-337.5,3762.5,54.0,-0.0094,-0.0108425927124608,-0.010854159731855769,0.003601318849154911
