,dc_0,ell_ca1,omega_ca1,omega_ca2,phi_0
prc_0.05,0.07213917850597075,20.590139773221523,0.0035907222036959474,0.00011976869077181927,0.390932318767913
prc_0.25,0.09001084436360385,23.59012327659179,0.003984654637175191,0.0004928367911713423,0.39553834307249514
prc_0.50,0.10143699603540929,26.543572426888286,0.004182692684872978,0.001009222968150538,0.39889370513774736
prc_0.75,0.11315964185978704,29.914150036239064,0.004379019894505046,0.001616765696580807,0.4021223014712514
prc_0.95,0.1298568360602903,36.020457684760665,0.004625025490823191,0.0023993168864654946,0.40718768785215936
mean,0.10144833133620683,27.244276148242687,0.004158808786793643,0.0010999590173697913,0.39891295554388134
