,dc_0,ell_ca1,omega_ca1,omega_ca2,phi_0
prc_0.05,0.0524079138852662,19.402968882463906,0.0027381590115662983,0.0001055033837749979,0.36332571161435456
prc_0.25,0.07083131393696204,22.98293824582909,0.0031630377800374873,0.00046644484767703793,0.36746923053315833
prc_0.50,0.08209464319855528,25.752747314402747,0.003393522626402797,0.0009496387990464926,0.37019531169526015
prc_0.75,0.09357257488253089,29.51666901989038,0.0035572794351475304,0.0015367162150111162,0.3731698187496457
prc_0.95,0.1111396316775528,38.13028704945031,0.00377984026773783,0.0022781605790962943,0.37741569785795376
mean,0.08206859886326451,26.949449102431892,0.0033364139848956263,0.001044615431272273,0.3702981922073131
