cell_name,cell_i,cellX,cellY,zoneUTM,c_a_erg,c_ca_mean,c_ca_med,c_ca_unc
c.285,285,-587.5,3737.5,54.0,-0.00247,-0.002848760222592279,-0.002848548649487544,0.0014775517799932047
c.346,346,-562.5,3562.5,54.0,-0.00247,-0.0035112905832764326,-0.0034400683658266243,0.0015407139982123396
c.353,353,-562.5,3737.5,54.0,-0.00247,-0.002998774925199929,-0.0029383674122321164,0.0013417399867007497
c.354,354,-562.5,3762.5,54.0,-0.00247,-0.0030534714467320046,-0.003060293368024045,0.0014031562397552983
c.414,414,-537.5,3562.5,54.0,-0.00247,-0.0035391831642350453,-0.0034664915705327065,0.0014500131228150854
c.415,415,-537.5,3587.5,54.0,-0.00247,-0.003337968973802301,-0.003276726316657399,0.0013885580829841996
c.416,416,-537.5,3612.5,54.0,-0.00247,-0.0030481720832874824,-0.002944099623158376,0.001384511673791545
c.420,420,-537.5,3712.5,54.0,-0.00247,-0.0028867027963200577,-0.002843187202554583,0.0014554107929864982
c.421,421,-537.5,3737.5,54.0,-0.00247,-0.00302023572913416,-0.0029973029841775705,0.0013721395873084164
c.422,422,-537.5,3762.5,54.0,-0.00247,-0.003109050361884839,-0.0030215794283081354,0.0013800105303150131
c.480,480,-512.5,3512.5,54.0,-0.00247,-0.003147060100533948,-0.003114288998215817,0.001476274528582998
c.481,481,-512.5,3537.5,54.0,-0.00247,-0.003365894518451715,-0.0033147153809049983,0.0013494063225794857
c.482,482,-512.5,3562.5,54.0,-0.00247,-0.0033872573617218234,-0.003378748314062472,0.001318570384152366
c.483,483,-512.5,3587.5,54.0,-0.00247,-0.0030141215313175514,-0.0029982467782662557,0.0012444896911494858
c.484,484,-512.5,3612.5,54.0,-0.00247,-0.0024529428969486816,-0.0024120930853589557,0.0012087402816310803
c.485,485,-512.5,3637.5,54.0,-0.00247,-0.0024674846837833006,-0.0024335952912870286,0.001263004607548895
c.486,486,-512.5,3662.5,54.0,-0.00247,-0.0026624272200944776,-0.00256131020360959,0.0013188371885976232
c.487,487,-512.5,3687.5,54.0,-0.00247,-0.0027462490884767265,-0.0026529024813292243,0.001425686380024927
c.488,488,-512.5,3712.5,54.0,-0.00247,-0.0028639268886102368,-0.0027586823825000587,0.001424272928434174
c.489,489,-512.5,3737.5,54.0,-0.00247,-0.0028426882042007708,-0.002743925817350986,0.001289919172703414
c.490,490,-512.5,3762.5,54.0,-0.00247,-0.0030434778514637096,-0.002999990080888768,0.0013233669783514793
c.491,491,-512.5,3787.5,54.0,-0.00247,-0.0033747395496418306,-0.003362597429322535,0.0014399954615896494
c.547,547,-487.5,3487.5,54.0,-0.00247,-0.00288479621195441,-0.0027874623117117078,0.0014456483510119338
c.548,548,-487.5,3512.5,54.0,-0.00247,-0.0031837680608535084,-0.003125357339892508,0.0014106152102766388
c.549,549,-487.5,3537.5,54.0,-0.00247,-0.003495305755498103,-0.0034290387220821655,0.0014476247089073354
c.550,550,-487.5,3562.5,54.0,-0.00247,-0.0033826269057987877,-0.0033411708714836527,0.0013756820632535357
c.551,551,-487.5,3587.5,54.0,-0.00247,-0.003189279858340412,-0.003118905456193542,0.0013332449185825867
c.552,552,-487.5,3612.5,54.0,-0.00247,-0.0030617376384586303,-0.0030379266757797367,0.00139191571921275
c.553,553,-487.5,3637.5,54.0,-0.00247,-0.0026273332494571363,-0.002593306363992355,0.0012859737832889087
c.554,554,-487.5,3662.5,54.0,-0.00247,-0.002661199400065259,-0.0026040375813619256,0.0012370541760045337
c.555,555,-487.5,3687.5,54.0,-0.00247,-0.0027561229892636434,-0.0026819323278037327,0.0013138372255524387
c.556,556,-487.5,3712.5,54.0,-0.00247,-0.0027597516083851317,-0.0026587668781531235,0.0013195064090017466
c.557,557,-487.5,3737.5,54.0,-0.00247,-0.0027535611268264273,-0.0026606350013780766,0.00123894089860468
c.558,558,-487.5,3762.5,54.0,-0.00247,-0.0027889789574842335,-0.002789587826491434,0.0011880845310587233
c.559,559,-487.5,3787.5,54.0,-0.00247,-0.003936857312894103,-0.00391463076210451,0.0013068779870250194
c.615,615,-462.5,3487.5,54.0,-0.00247,-0.002859091605250534,-0.0028014562994967893,0.0014294624882079017
c.616,616,-462.5,3512.5,54.0,-0.00247,-0.0031091662864421955,-0.0030895357921595003,0.0013781796534854858
c.617,617,-462.5,3537.5,54.0,-0.00247,-0.003388799970833666,-0.0033395016470894145,0.0014071590644907596
c.618,618,-462.5,3562.5,54.0,-0.00247,-0.003270235846197134,-0.003172221367876371,0.0013652087524850082
c.619,619,-462.5,3587.5,54.0,-0.00247,-0.0034257127684543098,-0.0034379215656871395,0.0014545374894174734
c.620,620,-462.5,3612.5,54.0,-0.00247,-0.003556776137233134,-0.003537020482986029,0.0014001725774561529
c.621,621,-462.5,3637.5,54.0,-0.00247,-0.003030730070322614,-0.003015356489204712,0.0013692226566864119
c.622,622,-462.5,3662.5,54.0,-0.00247,-0.002719391869262339,-0.002631923470333483,0.0013074739479400428
c.623,623,-462.5,3687.5,54.0,-0.00247,-0.002589457582645626,-0.0025881532987873106,0.0012604206829563668
c.624,624,-462.5,3712.5,54.0,-0.00247,-0.002379466708142833,-0.002370049689378233,0.0012608523769873329
c.625,625,-462.5,3737.5,54.0,-0.00247,-0.002227595068464367,-0.0021342747700914206,0.0011747911405245752
c.626,626,-462.5,3762.5,54.0,-0.00247,-0.0029445843240064494,-0.0029278496620065222,0.00120186690544091
c.627,627,-462.5,3787.5,54.0,-0.00247,-0.004140588158043753,-0.004179990944838669,0.0013753690013667422
c.628,628,-462.5,3812.5,54.0,-0.00247,-0.003786396366037783,-0.003836604352940909,0.001489755945000544
c.684,684,-437.5,3512.5,54.0,-0.00247,-0.002920177799339171,-0.0028595070873735882,0.001438498911707784
c.685,685,-437.5,3537.5,54.0,-0.00247,-0.0032256741113356902,-0.0031856880103781496,0.001404486247633559
c.686,686,-437.5,3562.5,54.0,-0.00247,-0.003320512008224171,-0.003264428173193748,0.0013306300671343267
c.687,687,-437.5,3587.5,54.0,-0.00247,-0.003636930332471447,-0.0036383189868116287,0.0014064830451841455
c.688,688,-437.5,3612.5,54.0,-0.00247,-0.0036387291015388306,-0.0036375376341947277,0.0013631952433640039
c.689,689,-437.5,3637.5,54.0,-0.00247,-0.0031831445928250227,-0.0031504193956698057,0.0013909409731431557
c.690,690,-437.5,3662.5,54.0,-0.00247,-0.002865693516792536,-0.0028097650630064313,0.0013738389785894881
c.691,691,-437.5,3687.5,54.0,-0.00247,-0.0026872057555555945,-0.0026206341733116967,0.001353742157657722
c.692,692,-437.5,3712.5,54.0,-0.00247,-0.002453553257876555,-0.002395539706881816,0.0012897209290077833
c.693,693,-437.5,3737.5,54.0,-0.00247,-0.0024773597794520204,-0.0024580600551739797,0.0013176477421376499
c.694,694,-437.5,3762.5,54.0,-0.00247,-0.0031831677172412666,-0.0031198876430490645,0.0012883409739164377
c.695,695,-437.5,3787.5,54.0,-0.00247,-0.003621272706573146,-0.0035791924804843673,0.0013542947087243188
c.696,696,-437.5,3812.5,54.0,-0.00247,-0.0037544386983505464,-0.0037493944783411727,0.0013729894804757302
c.697,697,-437.5,3837.5,54.0,-0.00247,-0.0034196009652090434,-0.0033813429430663254,0.0014501417531663707
c.753,753,-412.5,3537.5,54.0,-0.00247,-0.003031459925501211,-0.0029759362401926568,0.0014308934940875616
c.754,754,-412.5,3562.5,54.0,-0.00247,-0.003431479225610073,-0.003454403532704433,0.0014453520372105725
c.755,755,-412.5,3587.5,54.0,-0.00247,-0.003558787410337601,-0.0035328799947747444,0.0014067098615881558
c.756,756,-412.5,3612.5,54.0,-0.00247,-0.0033762792702099337,-0.0033298332677851377,0.0013871801757340246
c.757,757,-412.5,3637.5,54.0,-0.00247,-0.0033834773516035633,-0.0034013869009673885,0.0013540199339659115
c.759,759,-412.5,3687.5,54.0,-0.00247,-0.0029695458371583236,-0.002888818690204375,0.001383683938242151
c.760,760,-412.5,3712.5,54.0,-0.00247,-0.0028679843845166655,-0.002800668914979745,0.0013298062499643736
c.761,761,-412.5,3737.5,54.0,-0.00247,-0.0030516224245553934,-0.0030491267902036604,0.0013813181443888601
c.762,762,-412.5,3762.5,54.0,-0.00247,-0.003433441233806392,-0.003397854897925898,0.0014006023298784082
c.763,763,-412.5,3787.5,54.0,-0.00247,-0.0034530031753453572,-0.0034051990054085033,0.001428752495556992
c.764,764,-412.5,3812.5,54.0,-0.00247,-0.0030059798413874326,-0.0029984221579247173,0.0013570637373274755
c.765,765,-412.5,3837.5,54.0,-0.00247,-0.003404625637545651,-0.0033941613313181636,0.0013632159258967814
c.821,821,-387.5,3537.5,54.0,-0.00247,-0.0030719908305301574,-0.003000868094454417,0.001489042826134236
c.822,822,-387.5,3562.5,54.0,-0.00247,-0.0032916786083501365,-0.0032705890088371875,0.0014565508303695178
c.823,823,-387.5,3587.5,54.0,-0.00247,-0.0033366508353365756,-0.003308054315184749,0.001347934669985861
c.824,824,-387.5,3612.5,54.0,-0.00247,-0.0033139540177056417,-0.0032675824480745165,0.001457980460379039
c.825,825,-387.5,3637.5,54.0,-0.00247,-0.0033858281724406755,-0.00339550557629501,0.0013551163399799341
c.826,826,-387.5,3662.5,54.0,-0.00247,-0.0032409440292898765,-0.003245780724489281,0.0014317217206872323
c.827,827,-387.5,3687.5,54.0,-0.00247,-0.0029763566772434266,-0.002944301695346016,0.001443626667993864
c.828,828,-387.5,3712.5,54.0,-0.00247,-0.0030724486124442505,-0.0030310195434286005,0.0013554773507482919
c.829,829,-387.5,3737.5,54.0,-0.00247,-0.003465340204426303,-0.0034379861793388715,0.0013814042354531343
c.830,830,-387.5,3762.5,54.0,-0.00247,-0.003701323352694855,-0.003708904973958208,0.0014086237988639645
c.831,831,-387.5,3787.5,54.0,-0.00247,-0.0038956463367775165,-0.003851500214962461,0.0014246330201951364
c.832,832,-387.5,3812.5,54.0,-0.00247,-0.0034721537359771438,-0.003447217403968731,0.0013160525967330897
c.833,833,-387.5,3837.5,54.0,-0.00247,-0.003273608832349963,-0.0032416438430747435,0.0011990836939504879
c.834,834,-387.5,3862.5,54.0,-0.00247,-0.002595465891001908,-0.0024825820243451705,0.0013336797180742916
c.891,891,-362.5,3587.5,54.0,-0.00247,-0.003388154524910089,-0.003355845117005992,0.0013609674212020275
c.892,892,-362.5,3612.5,54.0,-0.00247,-0.0032669011039345563,-0.0032165795243973305,0.0012829254223680141
c.893,893,-362.5,3637.5,54.0,-0.00247,-0.003271394988082871,-0.0032414895730026225,0.0013108739139399167
c.894,894,-362.5,3662.5,54.0,-0.00247,-0.0030711892942766805,-0.002983615384873582,0.0013028723308137974
c.895,895,-362.5,3687.5,54.0,-0.00247,-0.0028993836893652413,-0.0028531606794910506,0.001393207589607124
c.896,896,-362.5,3712.5,54.0,-0.00247,-0.0030497715404755764,-0.002983907933932126,0.001363959122513735
c.897,897,-362.5,3737.5,54.0,-0.00247,-0.0033810698151275614,-0.003324428416960021,0.0014062707883106356
c.898,898,-362.5,3762.5,54.0,-0.00247,-0.0035763932040841,-0.003605614817997166,0.0014361270031471825
c.899,899,-362.5,3787.5,54.0,-0.00247,-0.003664185667536547,-0.0036131844834506547,0.001325769129776601
c.900,900,-362.5,3812.5,54.0,-0.00247,-0.0038357147278970474,-0.0037774347963122007,0.001338592291672909
c.901,901,-362.5,3837.5,54.0,-0.00247,-0.0031940741248497875,-0.0031487202888772327,0.001160736775086295
c.902,902,-362.5,3862.5,54.0,-0.00247,-0.001679589120914096,-0.0015430268641552132,0.001072109561874715
c.959,959,-337.5,3587.5,54.0,-0.00247,-0.00327269214442405,-0.0031683351613829448,0.001469079785137095
c.960,960,-337.5,3612.5,54.0,-0.00247,-0.003536542778203934,-0.003473992405023704,0.0015221410460878335
c.961,961,-337.5,3637.5,54.0,-0.00247,-0.0035158437031764505,-0.0034096621876837227,0.001427758901624161
c.964,964,-337.5,3712.5,54.0,-0.00247,-0.0030335593932531066,-0.003017778554325767,0.001409074391530517
c.965,965,-337.5,3737.5,54.0,-0.00247,-0.0029310810123643312,-0.0029008718102435166,0.001397299596419711
c.966,966,-337.5,3762.5,54.0,-0.00247,-0.0029173727107847545,-0.002879432855305862,0.0013430174865831182
c.967,967,-337.5,3787.5,54.0,-0.00247,-0.002584014266669319,-0.0024700542040499854,0.0013231484889940045
c.968,968,-337.5,3812.5,54.0,-0.00247,-0.0025218295484693625,-0.0024341050452451073,0.0012064991575453687
c.969,969,-337.5,3837.5,54.0,-0.00247,-0.0014052534181731413,-0.0013050066972826505,0.0009559458923064173
c.970,970,-337.5,3862.5,54.0,-0.00247,-0.0010945387324965289,-0.0009358819547792435,0.0008109884218287472
c.971,971,-337.5,3887.5,54.0,-0.00247,-0.0016210380755159385,-0.0015224519862295956,0.0010159104130889264
c.1029,1029,-312.5,3637.5,54.0,-0.00247,-0.003511979822251013,-0.0034099209034573457,0.0014873734443372334
c.1030,1030,-312.5,3662.5,54.0,-0.00247,-0.003466974489745164,-0.003427006873020787,0.001488724452091861
c.1033,1033,-312.5,3737.5,54.0,-0.00247,-0.002986790926434271,-0.002960905948041563,0.001411291136097442
c.1034,1034,-312.5,3762.5,54.0,-0.00247,-0.002643307355681338,-0.0025937005234292123,0.0013141790620941288
c.1035,1035,-312.5,3787.5,54.0,-0.00247,-0.0024103107789313852,-0.002342770402110752,0.0012258508027675865
c.1036,1036,-312.5,3812.5,54.0,-0.00247,-0.001817970121557051,-0.0016899904236817905,0.0010821779047499131
c.1037,1037,-312.5,3837.5,54.0,-0.00247,-0.0016848767421172594,-0.0015595162666570271,0.0010720405127278934
c.1038,1038,-312.5,3862.5,54.0,-0.00247,-0.0009889465690368889,-0.0008658912840587409,0.0007054364510515763
c.1039,1039,-312.5,3887.5,54.0,-0.00247,-0.0014884634532619748,-0.0013715925448330372,0.0009527861836010668
c.1040,1040,-312.5,3912.5,54.0,-0.00247,-0.002174944226697488,-0.002060855875962595,0.001180941774770718
c.1098,1098,-287.5,3662.5,54.0,-0.00247,-0.003275071451244926,-0.0032678245357406076,0.0015595192989751644
c.1099,1099,-287.5,3687.5,54.0,-0.00247,-0.0032909681382684674,-0.003217130898927909,0.0015128904522664255
c.1100,1100,-287.5,3712.5,54.0,-0.00247,-0.0031642757650602394,-0.0031015364398176153,0.0013937735023597918
c.1101,1101,-287.5,3737.5,54.0,-0.00247,-0.003021795893621048,-0.0030001438972150725,0.0013529066629449568
c.1103,1103,-287.5,3787.5,54.0,-0.00247,-0.0024277854934875312,-0.0023781192933606237,0.0012669779903761657
c.1104,1104,-287.5,3812.5,54.0,-0.00247,-0.002038918910626607,-0.001974145537502466,0.0011567539894031937
c.1105,1105,-287.5,3837.5,54.0,-0.00247,-0.0014389843179574988,-0.0013513335410783086,0.0009369256645142809
c.1106,1106,-287.5,3862.5,54.0,-0.00247,-0.0012834497014359118,-0.0011514221502174115,0.0008480863360282022
c.1107,1107,-287.5,3887.5,54.0,-0.00247,-0.0019875590918729496,-0.0019469194945908514,0.0009972848803562273
c.1108,1108,-287.5,3912.5,54.0,-0.00247,-0.002420492170938538,-0.0023149352087707964,0.0012016474908847887
c.1109,1109,-287.5,3937.5,54.0,-0.00247,-0.0028909216780946176,-0.002826910599620855,0.0013491575804080629
c.1167,1167,-262.5,3687.5,54.0,-0.00247,-0.003107991981061861,-0.0030834109247814896,0.0015049501683152544
