,dc_0,ell_ca1,omega_ca1,omega_ca2,phi_0
prc_0.05,0.044482274224300025,23.438484550000297,0.002811301322347273,5.296181198510408e-05,0.4040877617828906
prc_0.25,0.0596038379397026,27.20365355090753,0.0029845164873896347,0.00022914145544104285,0.4089546538103066
prc_0.50,0.07097594804820245,30.080727289438165,0.0031104745640962274,0.00045351344102989,0.4122807745471255
prc_0.75,0.0833148296135966,33.500292637611096,0.0032423883471696573,0.0007714614736485357,0.415651658958681
prc_0.95,0.09899458601666218,39.36088105501193,0.003439352678589246,0.0012501422929260294,0.4203957526926092
mean,0.07149827058002234,30.62625918425958,0.003114011400641792,0.0005261051588701173,0.4122991240404357
