,dc_0,ell_ca1,omega_ca1,omega_ca2,phi_0
prc_0.05,0.050586577546775806,17.411771410941295,0.0029550784785391483,9.00468995361307e-05,0.3545103816367583
prc_0.25,0.06504240969783268,20.12268978247026,0.0034012797245266727,0.00042274793181271326,0.35869192831544855
prc_0.50,0.07553729096575637,22.388455601832252,0.003630354717342041,0.0009272044908785406,0.3616077670488247
prc_0.75,0.08653777007017911,25.45200240631174,0.00380966409058603,0.0015607826907476272,0.36455837282723086
prc_0.95,0.10435309592319633,31.10498648258612,0.004007945329636744,0.0024481097245311195,0.3691387335187899
mean,0.07606030902430613,23.174160214283905,0.003574470095251343,0.0010459087392868413,0.3616672260973675
