,dc_0,ell_ca1,omega_ca1,omega_ca2,phi_0
prc_0.05,0.01673778583490187,27.501987755268875,0.0014356199607055743,2.197647951715329e-05,0.3213321096026746
prc_0.25,0.027548871915358524,32.80848283050504,0.0015624478072195083,0.00011032795527083427,0.3247438296737759
prc_0.50,0.03569819013999038,36.89671110849829,0.001650073004633366,0.00022069810704186004,0.32760957555754855
prc_0.75,0.04442182554792962,41.93141061452044,0.0017447096893313595,0.00037446560746428177,0.3301105831339644
prc_0.95,0.057252570519853906,51.96942417168424,0.0018929534660734745,0.0006468107281363301,0.3338749725160652
mean,0.0361378687373298,37.89407511195456,0.0016552333383234533,0.0002587904337538738,0.32751276592553935
